,event,particle_track_id,particle_parent_track_id,particle_pdg_code,particle_mass,particle_charge,particle_process_key,particle_initial_energy,particle_initial_x,particle_initial_y,particle_initial_z,particle_initial_t,particle_final_x,particle_final_y,particle_final_z,particle_final_t,particle_decay_flag,particle_detector_x_tag,particle_detector_y_tag
0,0.0,1.0,0.0,-12.0,6.335987530211417e-07,0.0,11.0,330.3765841191032,115.0,300.0,180.0,0.0,-98251.62467755504,300000.0,-203042.38473498443,12516.23076329806,0.0,-1.0,-1.0
1,0.0,2.0,0.0,321.0,493.6,1.0,20.0,594.6775606118613,115.0,300.0,180.0,0.0,124.0834321261694,295.88011201243705,187.9101753326227,24.14687911194638,1.0,310.0,739.0
2,0.0,3.0,2.0,11.0,0.51099891,-1.0,1.0,0.8311888858667359,117.08351402927744,299.1290438995499,181.8148157058792,0.1761887864720534,117.09552998112856,299.0815280105993,181.81959164519589,0.1794055780521223,0.0,292.0,747.0
3,0.0,4.0,2.0,11.0,0.51099891,-1.0,1.0,0.8336139335795881,118.50519543990896,298.5451341981137,182.95376833361715,0.298544281449195,118.5139995637013,298.56267220094435,182.99733609179393,0.3019803710136869,0.0,296.0,746.0
4,0.0,5.0,2.0,14.0,0.0,0.0,11.0,235.49156050645055,124.0834321261694,295.88011201243705,187.9101753326227,24.14687911194638,-23934.17307301974,58377.839297278064,300000.0,10242.299325613609,0.0,-1.0,-1.0
5,0.0,6.0,2.0,-13.0,105.6583715,1.0,20.0,258.10843949354944,124.0834321261694,295.88011201243705,187.9101753326227,24.14687911194638,122.76802416505654,284.97570945852345,135.5533109306758,600.6382678199072,1.0,306.0,712.0
6,0.0,7.0,6.0,11.0,0.51099891,-1.0,1.0,1.3277607968986949,124.20468510334702,295.5864334622453,186.2858823648443,24.20740973808376,124.29130755113412,295.418771802497,186.30761207525003,24.21789429617811,0.0,310.0,738.0
7,0.0,8.0,6.0,11.0,0.51099891,-1.0,1.0,1.247239528464152,124.37004758940978,295.1941695712777,183.69303469979675,24.303778442802265,124.50484559165548,295.2012643735,183.56024021770557,24.314238005118597,0.0,311.0,738.0
8,0.0,9.0,6.0,11.0,0.51099891,-1.0,1.0,1.5196798875043105,124.37697700729306,295.17801610294316,183.60162543535563,24.3072100820801,124.32482353326512,295.1421263202136,183.47850619326476,24.319696773941025,0.0,310.0,737.0
9,0.0,10.0,6.0,11.0,0.51099891,-1.0,1.0,1.3341799127245992,124.4519127808494,294.9897434765268,182.51727252713323,24.347920397349657,124.38310476360851,295.04631220586015,182.33940560919612,24.359841357893615,0.0,310.0,737.0
10,0.0,11.0,6.0,11.0,0.51099891,-1.0,1.0,1.4082492108064275,124.51207339246302,294.86231210233444,181.63708936987652,24.380910505166295,124.54638642465343,294.86811360689137,181.4694427674348,24.394183998347593,0.0,311.0,737.0
11,0.0,12.0,6.0,11.0,0.51099891,-1.0,1.0,1.4670926649475384,124.66191179494628,294.3909610705447,178.37579587125964,24.50332477123342,124.7366021414798,294.5251285137795,178.26161816090715,24.51478724415716,0.0,311.0,736.0
12,0.0,13.0,6.0,11.0,0.51099891,-1.0,1.0,0.7989552977761927,124.67982042731418,294.32744746483434,177.9908809209166,24.517933420488266,124.66184895357624,294.3692038252356,177.9818534388341,24.521110988149168,0.0,311.0,735.0
13,0.0,14.0,6.0,11.0,0.51099891,-1.0,1.0,0.8740675065617487,124.74241574586875,294.1174191301054,176.678517777408,24.567758266490095,124.73397032101992,294.1578913305415,176.613659536356,24.572641036616336,0.0,311.0,735.0
14,0.0,15.0,6.0,11.0,0.51099891,-1.0,1.0,0.8798705015548036,124.99802485719258,293.42443704962085,172.8033282335242,24.716072502059724,125.04264249449264,293.4495368546517,172.80698464826003,24.719712897059452,0.0,312.0,733.0
15,0.0,16.0,6.0,11.0,0.51099891,-1.0,1.0,0.8464773931338776,124.995364346117,291.89898667858813,166.61614282305706,24.95966912468557,124.9601007819571,291.9156692355934,166.6069183992866,24.962601415287526,0.0,312.0,729.0
16,0.0,17.0,6.0,11.0,0.51099891,-1.0,1.0,1.1200809248298893,124.95884388073604,291.4610446729621,164.85689496649204,25.03002158359823,124.88361979391723,291.3704560140892,164.86302855042703,25.038482169803434,0.0,312.0,728.0
17,0.0,18.0,6.0,11.0,0.51099891,-1.0,1.0,1.066903656153244,124.70029061988434,290.480609041926,161.54291126001198,25.165752715941707,124.65101373565776,290.432639943309,161.47257547504373,25.170836132129875,0.0,311.0,726.0
18,0.0,19.0,6.0,11.0,0.51099891,-1.0,1.0,0.8397552032464118,124.54970597076718,290.053977156938,159.99234601013194,25.22997629176733,124.54106111731603,290.04215434739586,159.9846113839024,25.232957361730787,0.0,311.0,725.0
19,0.0,20.0,6.0,11.0,0.51099891,-1.0,1.0,1.256519277696671,124.53603053756376,290.0015192305589,159.77273570405117,25.239044031886507,124.56180947198771,289.89488505581346,159.7554577758938,25.246951868914817,0.0,311.0,724.0
20,0.0,21.0,6.0,11.0,0.51099891,-1.0,1.0,0.8023104366103813,124.2780153854234,289.08570699966583,155.43706773055976,25.41862070802296,124.24204445412096,289.0848230871027,155.416987567701,25.42134950508225,0.0,310.0,722.0
21,0.0,22.0,6.0,11.0,0.51099891,-1.0,1.0,1.1880879383200131,123.4971226420007,287.8780152656343,148.72278335562785,25.708516703531743,123.466217494132,288.01138204515917,148.69640104985268,25.716877699237976,0.0,308.0,720.0
