,event,particle_track_id,particle_parent_track_id,particle_pdg_code,particle_mass,particle_charge,particle_process_key,particle_initial_energy,particle_initial_x,particle_initial_y,particle_initial_z,particle_initial_t,particle_final_x,particle_final_y,particle_final_z,particle_final_t,particle_decay_flag,particle_detector_x_tag,particle_detector_y_tag
0,8.0,1.0,0.0,321.0,493.67699999999996,1.0,20.0,1493.677,115.0,475.0,150.0,0.0,111.64303938483738,89.17913303119242,143.77107972125518,32.76684491989206,1.0,279.0,222.0
1,8.0,2.0,1.0,11.0,0.51099891,-1.0,1.0,0.9424106294704937,115.00104482278599,473.97196416874004,150.00120676441327,0.03633349281323834,115.01994882581633,473.9202476001527,149.9699433800653,0.041392870738384,0.0,287.0,1184.0
2,8.0,3.0,1.0,11.0,0.51099891,-1.0,1.0,0.7901702144424145,115.06476094338328,465.94870590460323,149.99281827505465,0.3199641819454101,115.04100104599252,465.9421291738916,150.00592038965576,0.3224641891161591,0.0,287.0,1164.0
3,8.0,4.0,1.0,11.0,0.51099891,-1.0,1.0,1.1508233815298303,115.07597657219893,464.91578430225826,149.98488849882722,0.3565282667390866,115.00497950092105,464.9050235825116,150.0723871632537,0.36426268630636094,0.0,287.0,1162.0
4,8.0,5.0,1.0,11.0,0.51099891,-1.0,1.0,0.8040408316971768,115.10788614343615,461.8697660495865,149.9553334779192,0.4643792751124919,115.09415567792632,461.85967728038185,149.92923155873282,0.46712882197330574,0.0,287.0,1154.0
5,8.0,6.0,1.0,11.0,0.51099891,-1.0,1.0,0.8557308842655117,115.128322008735,460.0687810933638,149.92766513151946,0.5281827891878507,115.13485947921598,460.0294368318003,149.95910651119203,0.5320024022202905,0.0,287.0,1150.0
6,8.0,7.0,1.0,11.0,0.51099891,-1.0,1.0,1.0267881037117281,115.14050714130057,459.01044766701614,149.9158331581374,0.5656857675589854,115.1345379335077,459.00120239554883,149.88287106302963,0.5693412792378302,0.0,287.0,1147.0
7,8.0,8.0,1.0,11.0,0.51099891,-1.0,1.0,1.1640093127024826,115.1476669743118,458.22376961164116,149.91088708159515,0.5935662548847365,115.09990998167602,458.166932340008,149.94332627403475,0.6023955229668763,0.0,287.0,1145.0
8,8.0,9.0,1.0,11.0,0.51099891,-1.0,1.0,2.0081842111324844,115.15579915591279,457.4455461616474,149.90789501434878,0.6211519947391003,115.05043406290675,457.1757901975252,149.76933811142902,0.6373114378039374,0.0,287.0,1142.0
9,8.0,10.0,1.0,11.0,0.51099891,-1.0,1.0,1.6671346391762327,115.16012410065551,457.0429655996892,149.9065520401004,0.6354257566911212,115.11497693358133,456.7768872863756,149.87832516181973,0.6525197356348424,0.0,287.0,1141.0
10,8.0,11.0,1.0,11.0,0.51099891,-1.0,1.0,4.639674197312237,115.1838134364493,454.925306679352,149.8956241459119,0.7105230064384699,114.328968867188,453.70204890457836,149.84918847990994,0.7730144160626257,0.0,285.0,1134.0
11,8.0,12.0,1.0,11.0,0.51099891,-1.0,1.0,1.1102054729604416,115.20601442932488,451.9801726899733,149.8938352991014,0.8150372383316089,115.24247983072186,452.0015380788116,149.91973357510597,0.8227742408161475,0.0,288.0,1130.0
12,8.0,13.0,1.0,11.0,0.51099891,-1.0,1.0,1.070705523579889,115.19434556342769,447.0060125832596,149.86138711038137,0.991657880448332,115.17467958891712,446.90713340361515,149.87544045128038,0.9987106111204542,0.0,287.0,1117.0
13,8.0,14.0,1.0,11.0,0.51099891,-1.0,1.0,0.8263500839630329,115.18478705357074,441.48537875903423,149.79216957364974,1.1878785197299924,115.18637271199714,441.4665635186028,149.78732517172378,1.1913723610560347,0.0,287.0,1103.0
