Unnamed: 0.1,event,particle_track_id,particle_parent_track_id,particle_pdg_code,particle_mass,particle_charge,particle_process_key,particle_initial_energy,particle_initial_x,particle_initial_y,particle_initial_z,particle_initial_t,particle_final_x,particle_final_y,particle_final_z,particle_final_t,particle_final_kinetic_energy,particle_final_momentum,particle_decay_flag,particle_detector_x_tag,particle_detector_y_tag,Unnamed: 0
543026,533.0,2.0,0.0,321.0,493.6,1.0,20.0,512.0415164164098,115.0,300.0,180.0,0.0,115.3783034168105,300.5170482300574,180.05697676792263,15.295254271237422,0.0,0.0,1.0,288.0,751.0,1.0
543850,534.0,2.0,0.0,321.0,493.5999999999999,1.0,20.0,544.9660933533785,115.0,300.0,180.0,0.0,114.06219964586384,303.52646806153854,181.27753226979831,10.006584848060816,0.0,0.0,1.0,285.0,758.0,1.0
544720,535.0,6.0,2.0,321.0,493.6770000000001,1.0,20.0,564.8515131229647,120.19507430227203,292.65559323919007,183.2679146692181,0.4814990752765662,120.54799557916913,292.0145757990853,182.93608950159995,0.5368188822083376,66.42708441204329,264.57438471260457,1.0,301.0,730.0,5.0
547578,536.0,2.0,0.0,321.0,493.5999999999999,1.0,20.0,558.7557568464832,115.0,300.0,180.0,0.0,120.70380841616972,299.5187322172408,178.74048372092514,3.035456276204073,0.0,0.0,1.0,301.0,748.0,1.0
548815,537.0,2.0,0.0,321.0,493.6,1.0,20.0,611.1024712748665,115.0,300.0,180.0,0.0,107.85563821629562,293.10725182578835,193.1194134410152,11.062688127547425,0.0,0.0,1.0,269.0,732.0,1.0
549038,538.0,2.0,0.0,321.0,493.6,1.0,20.0,534.0731227137256,115.0,300.0,180.0,0.0,112.95165815908608,301.56649704002064,179.45091617029564,2.4217414636910544,0.0,0.0,1.0,282.0,753.0,1.0
549610,539.0,2.0,0.0,321.0,493.6,1.0,20.0,730.1083651586636,115.0,300.0,180.0,0.0,75.31900373395163,268.18803816400793,171.57320980273,7.749012712172233,0.0,0.0,1.0,188.0,670.0,1.0
549857,540.0,2.0,0.0,321.0,493.5999999999998,1.0,20.0,622.5768536820037,115.0,300.0,180.0,0.0,103.95941991465156,290.5559907195627,167.15330206909658,3.616392515956683,0.0,0.0,1.0,259.0,726.0,1.0
549979,541.0,2.0,0.0,321.0,493.6,1.0,20.0,578.3093224163977,115.0,300.0,180.0,0.0,124.38217887856456,299.9398821151341,180.52320601248204,6.419315056530127,0.0,0.0,1.0,310.0,749.0,1.0
550877,542.0,2.0,0.0,321.0,493.6,1.0,20.0,610.5578163137602,115.0,300.0,180.0,0.0,101.75299118839804,290.8230011363972,178.5421342097485,21.926744940797793,0.0,0.0,1.0,254.0,727.0,1.0
551022,543.0,2.0,0.0,321.0,493.59999999999985,1.0,20.0,559.9414921005648,115.0,300.0,180.0,0.0,116.9016023776472,304.4440151662309,176.03837925378318,8.888372756992306,0.0,0.0,1.0,292.0,761.0,1.0
551269,544.0,2.0,0.0,321.0,493.6,1.0,20.0,618.8480481163108,115.0,300.0,180.0,0.0,103.28638611794538,304.0759554139879,193.4646807601128,6.335596537236825,0.0,0.0,1.0,258.0,760.0,1.0
551506,545.0,2.0,0.0,321.0,493.6,1.0,20.0,541.2311778779152,115.0,300.0,180.0,0.0,115.6600796017964,303.43428878500856,179.47056107177417,2.4924530701157175,0.0,0.0,1.0,289.0,758.0,1.0
551716,546.0,2.0,0.0,321.0,493.6,1.0,20.0,663.528384444553,115.0,300.0,180.0,0.0,124.48373418306494,329.5732230982485,182.0818130940652,2.721858201266472,0.0,0.0,1.0,311.0,823.0,1.0
551835,547.0,2.0,0.0,321.0,493.6,1.0,20.0,578.1297860187914,115.0,300.0,180.0,0.0,118.52267932056418,303.7885651571588,172.53121784352263,25.268974895922444,0.0,0.0,1.0,296.0,759.0,1.0
552055,548.0,2.0,0.0,321.0,493.6,1.0,20.0,662.57909113635,115.0,300.0,180.0,0.0,126.13769725469824,288.8476715879612,154.15112740746412,8.063939707451931,0.0,0.0,1.0,315.0,722.0,1.0
552281,549.0,2.0,0.0,321.0,493.59999999999985,1.0,20.0,627.0023689230671,115.0,300.0,180.0,0.0,114.71943991348364,306.6851341181609,160.44306531348906,2.0931450636776265,0.0,0.0,1.0,286.0,766.0,1.0
552418,550.0,2.0,0.0,321.0,493.5999999999999,1.0,20.0,613.4950624657899,115.0,300.0,180.0,0.0,114.14045993347156,314.1678591012562,188.90682215857905,21.32770960214147,0.0,0.0,1.0,285.0,785.0,1.0
553609,551.0,2.0,0.0,321.0,493.59999999999985,1.0,20.0,629.3819761505716,115.0,300.0,180.0,0.0,119.6066935092784,319.70633019459746,175.18743904632873,2.741783760084766,0.0,0.0,1.0,299.0,799.0,1.0
553786,552.0,2.0,0.0,321.0,493.5999999999999,1.0,20.0,539.1788414770084,115.0,300.0,180.0,0.0,112.50760448389164,299.1453835019586,178.09645051759827,0.8715864412060582,0.0,0.0,1.0,281.0,747.0,1.0
554653,553.0,3.0,2.0,321.0,493.677,1.0,20.0,537.1697690206981,114.80138519823308,299.2655270598575,180.86086756103603,0.0844103596315444,115.69287808957836,297.2207886707746,182.7477152292414,6.56400379977635,0.0,0.0,1.0,289.0,743.0,2.0
554949,554.0,2.0,0.0,321.0,493.5999999999999,1.0,20.0,571.2060090908423,115.0,300.0,180.0,0.0,119.64429688994774,306.328744694086,177.96884972285272,34.623320863150404,0.0,0.0,1.0,299.0,765.0,1.0
556362,555.0,2.0,0.0,321.0,493.6,1.0,20.0,519.1846110826459,115.0,300.0,180.0,0.0,114.38530980288805,299.909613925616,180.9433116838447,3.6401533428530337,0.0,0.0,1.0,285.0,749.0,1.0
557304,556.0,2.0,0.0,321.0,493.5999999999998,1.0,20.0,586.9955443123854,115.0,300.0,180.0,0.0,114.98235807547836,290.91621108024816,186.4284934390373,8.823874770349518,0.0,0.0,1.0,287.0,727.0,1.0
557815,557.0,326.0,2.0,321.0,493.677,1.0,20.0,499.777250122912,114.7573855175256,300.49527255044836,178.31539392176174,0.187703789238752,114.70230713969308,300.53948085416846,178.37506318102433,3.282269025931966,0.0,0.0,1.0,286.0,751.0,325.0
558797,558.0,2.0,0.0,321.0,493.5999999999999,1.0,20.0,539.7588461797445,115.0,300.0,180.0,0.0,116.69212821641295,298.52159304736,182.42682090787815,6.557991900158709,0.0,0.0,1.0,291.0,746.0,1.0
560022,559.0,2.0,0.0,321.0,493.5999999999999,1.0,20.0,620.3257246080111,115.0,300.0,180.0,0.0,117.11581560154823,283.418618831414,172.01123429764522,3.366591089119683,0.0,0.0,1.0,292.0,708.0,1.0
560216,560.0,2.0,0.0,321.0,493.6,1.0,20.0,572.5380292897702,115.0,300.0,180.0,0.0,114.72982890484418,300.5116509303314,188.16518958294176,23.847815317903297,0.0,0.0,1.0,286.0,751.0,1.0
560756,561.0,2.0,0.0,321.0,493.59999999999985,1.0,20.0,621.5404296060983,115.0,300.0,180.0,0.0,120.42990988608764,313.2177827464785,167.36908229372708,25.39884339284503,0.0,0.0,1.0,301.0,783.0,1.0
560975,562.0,2.0,0.0,321.0,493.5999999999999,1.0,20.0,573.7497723018746,115.0,300.0,180.0,0.0,116.95402969356049,291.6795337641908,179.9232469736104,21.326360491766085,0.0,0.0,1.0,292.0,729.0,1.0
561153,563.0,2.0,0.0,321.0,493.5999999999999,1.0,20.0,577.9718504021472,115.0,300.0,180.0,0.0,117.79327274566478,297.6896766149915,171.51166252601018,4.6039089553076025,0.0,0.0,1.0,294.0,744.0,1.0
561390,564.0,2.0,0.0,321.0,493.6,1.0,20.0,561.1521727678493,115.0,300.0,180.0,0.0,108.84527969800816,300.4280694823871,178.55690887625684,10.386052779020856,0.0,0.0,1.0,272.0,751.0,1.0
561571,565.0,2.0,0.0,321.0,493.6000000000001,1.0,20.0,590.7496377888491,115.0,300.0,180.0,0.0,111.10306007051966,289.77012372236237,175.17724861760362,8.570402981593334,0.0,0.0,1.0,277.0,724.0,1.0
561743,566.0,2.0,0.0,321.0,493.6,1.0,20.0,550.9840098671846,115.0,300.0,180.0,0.0,112.44077546235448,298.9663845203287,176.06695697040232,10.899499986138167,0.0,0.0,1.0,281.0,747.0,1.0
564436,567.0,2.0,0.0,321.0,493.6000000000002,1.0,20.0,559.7425479581141,115.0,300.0,180.0,0.0,110.9530970619691,301.6369569258581,175.70469953807392,19.44385536110498,0.0,0.0,1.0,277.0,754.0,1.0
