,event,xi,xf,yi,yf,zi,zf,ti,tf,E,ParticleID,PDG
0,31.0,115.0,114.95255805796128,475.0,473.6153036937001,150.0,150.01645943580124,0.0,0.0817025191218876,6.255177011425808,1.0,321.0
1,31.0,114.95255805796128,114.90131367935666,473.6153036937001,472.3697338510954,150.01645943580124,150.0013997042724,0.0817025191218876,0.1569315578337756,6.035273520139306,1.0,321.0
2,31.0,114.90131367935666,114.86820601558411,472.3697338510954,471.25189141887404,150.0013997042724,149.994992298406,0.1569315578337756,0.22605964230381437,4.630322024205812,1.0,321.0
3,31.0,114.86820601558411,114.83438313514509,471.25189141887404,470.2288847357916,149.994992298406,149.97479393227556,0.22605964230381437,0.29060902795575216,5.3794469088843035,1.0,321.0
4,31.0,114.83438313514509,114.79720216575035,470.2288847357916,469.31196921404535,149.97479393227556,149.94187810307125,0.29060902795575216,0.3499556601566429,5.1569616569859615,1.0,321.0
5,31.0,114.79720216575035,114.76721098489413,469.31196921404535,468.4915231127394,149.94187810307125,149.90899126105833,0.3499556601566429,0.4044367999423292,4.5091624720564685,1.0,321.0
6,31.0,114.76721098489413,114.75388368381536,468.4915231127394,468.0013271529472,149.90899126105833,149.8821839993142,0.4044367999423292,0.43779671709104084,2.6463302029551774,1.0,321.0
7,31.0,114.75388368381536,114.7398074029752,468.0013271529472,467.3066285198408,149.8821839993142,149.85772473791218,0.43779671709104084,0.4857397435931956,4.480457417729133,1.0,321.0
8,31.0,114.7398074029752,114.73406132152327,467.3066285198408,466.68605157768496,149.85772473791218,149.87619817596197,0.4857397435931956,0.5297260750605344,4.398705141204008,1.0,321.0
9,31.0,114.73406132152327,114.7242315823232,466.68605157768496,466.13524331138916,149.87619817596197,149.90043523468324,0.5297260750605344,0.5699311673286033,3.7094817309892094,1.0,321.0
10,31.0,114.7242315823232,114.71277755345379,466.13524331138916,465.6401856785404,149.90043523468324,149.92098191281337,0.5699311673286033,0.6070250524489821,2.9841106422762174,1.0,321.0
11,31.0,114.71277755345379,114.71527320608179,465.6401856785404,465.1880692747862,149.92098191281337,149.9404420401606,0.6070250524489821,0.641666102670962,3.422037698219489,1.0,321.0
12,31.0,114.71527320608179,114.72875703058978,465.1880692747862,464.7836850766447,149.9404420401606,149.96188542844874,0.641666102670962,0.6735499654579208,2.9597983282497298,1.0,321.0
