,event,pixel_x,pixel_y,reset_time,TSLR,nMCParticles,MC_TrackIDs,MC_Weights
0,64,97,978,0.0010216673880883423,0.0010216673880883423,2,"[211, 233]","[6232, 38]"
1,64,104,973,0.0010254102675827201,0.0010254102675827201,1,[206],[6258]
2,64,104,973,0.0010262202675827153,8.099999999951896e-07,1,[206],[6244]
3,64,104,974,0.0010257633695392682,0.0010257633695392682,2,"[206, 207]","[6283, 2]"
4,64,105,973,0.0010250167676944188,0.0010250167676944188,2,"[206, 207]","[6301, 3]"
5,64,105,973,0.0010255667676944155,5.499999999967337e-07,1,[206],[6266]
6,64,105,973,0.0010261367676944121,5.699999999966149e-07,1,[206],[6234]
7,64,105,974,0.0010255229206179541,0.0010255229206179541,2,"[206, 207]","[6266, 3]"
8,64,120,974,0.0010107301828877866,0.0010107301828877866,1,[198],[6287]
9,64,120,974,0.0010120901828877785,1.3599999999919232e-06,1,[198],[6226]
10,64,121,974,0.0010108886229096962,0.0010108886229096962,1,[198],[6251]
11,64,160,981,0.0010516142869285428,0.0010516142869285428,1,[141],[6264]
12,64,161,981,0.0010506758002005875,0.0010506758002005875,1,[141],[6308]
13,64,161,981,0.0010512058002005843,5.299999999968524e-07,1,[141],[6235]
14,64,161,981,0.0010517858002005809,5.799999999965555e-07,3,"[141, 183, 184]","[6280, 2, 1]"
15,64,161,982,0.0010515079149494503,0.0010515079149494503,3,"[141, 183, 184]","[6312, 11, 1]"
16,64,162,981,0.0010515595416539217,0.0010515595416539217,2,"[141, 146]","[6272, 1]"
17,64,162,982,0.0010512028563045446,0.0010512028563045446,4,"[141, 176, 183, 184]","[6272, 3, 8, 2]"
18,64,162,982,0.0010520428563045396,8.399999999950114e-07,4,"[141, 146, 183, 184]","[6257, 2, 13, 2]"
19,64,162,983,0.0010501958994497667,0.0010501958994497667,5,"[141, 175, 176, 188, 189]","[5284, 13, 943, 25, 2]"
20,64,162,983,0.0010510158994497618,8.199999999951302e-07,3,"[141, 176, 188]","[6119, 123, 3]"
21,64,162,983,0.0010521158994497553,1.0999999999934673e-06,2,"[141, 176]","[6236, 24]"
22,64,162,984,0.0010478127511619271,0.0010478127511619271,5,"[141, 175, 176, 188, 192]","[4302, 1904, 65, 1, 7]"
23,64,162,984,0.0010485927511619225,7.799999999953677e-07,5,"[141, 175, 176, 188, 192]","[4819, 831, 582, 9, 1]"
24,64,162,984,0.0010492427511619186,6.499999999961398e-07,5,"[141, 175, 176, 188, 189]","[4734, 198, 1292, 15, 3]"
25,64,162,984,0.0010499427511619145,6.999999999958428e-07,5,"[141, 175, 176, 188, 189]","[4703, 19, 1546, 16, 2]"
26,64,162,984,0.0010513027511619064,1.3599999999919232e-06,4,"[141, 176, 188, 189]","[5211, 979, 14, 2]"
27,64,162,985,0.0010458270946807388,0.0010458270946807388,3,"[141, 175, 192]","[6168, 54, 38]"
28,64,162,985,0.0010466770946807337,8.49999999994952e-07,3,"[141, 175, 192]","[5498, 759, 62]"
29,64,162,985,0.00104730709468073,6.299999999962586e-07,4,"[141, 175, 176, 192]","[4473, 1680, 1, 24]"
30,64,162,985,0.0010479570946807261,6.499999999961398e-07,4,"[141, 175, 176, 192]","[4071, 2191, 13, 15]"
31,64,162,985,0.0010491970946807188,1.2399999999926359e-06,5,"[141, 175, 176, 188, 189]","[4328, 1727, 162, 5, 1]"
32,64,162,986,0.0010445711945522194,0.0010445711945522194,1,[141],[6278]
33,64,162,986,0.0010458411945522118,1.2699999999924577e-06,4,"[141, 175, 192, 193]","[6203, 4, 24, 1]"
34,64,163,985,0.0010478856073225756,0.0010478856073225756,4,"[141, 142, 175, 176]","[5604, 280, 365, 4]"
35,64,163,986,0.0010429739274363794,0.0010429739274363794,2,"[141, 142]","[5905, 385]"
36,64,163,986,0.0010438339274363743,8.599999999948926e-07,2,"[141, 142]","[5902, 381]"
37,64,163,986,0.0010448039274363686,9.699999999942394e-07,2,"[141, 142]","[5692, 492]"
38,64,163,987,0.001042412032432461,0.001042412032432461,2,"[141, 142]","[6038, 221]"
39,64,163,987,0.001043592032432454,1.1799999999929922e-06,2,"[141, 142]","[6047, 220]"
40,64,164,985,0.0010454815106361174,0.0010454815106361174,2,"[141, 142]","[77, 6198]"
41,64,164,986,0.0010422694636846844,0.0010422694636846844,2,"[141, 142]","[1810, 4478]"
42,64,164,986,0.0010431994636846788,9.299999999944769e-07,2,"[141, 142]","[1440, 4799]"
43,64,164,986,0.0010441194636846734,9.199999999945363e-07,2,"[141, 142]","[591, 5662]"
44,64,164,986,0.0010449094636846687,7.899999999953083e-07,2,"[141, 142]","[144, 6136]"
45,64,164,986,0.0010459094636846627,9.999999999940612e-07,2,"[141, 142]","[45, 6181]"
46,64,164,987,0.0010408235938264233,0.0010408235938264233,2,"[141, 142]","[3671, 2599]"
47,64,164,987,0.0010413635938264201,5.39999999996793e-07,2,"[141, 142]","[3927, 2387]"
48,64,164,987,0.0010418135938264174,4.4999999999732754e-07,2,"[141, 142]","[4004, 2253]"
49,64,164,987,0.0010422935938264146,4.799999999971494e-07,2,"[141, 142]","[3930, 2295]"
50,64,164,987,0.0010430135938264103,7.199999999957241e-07,2,"[141, 142]","[3662, 2582]"
51,64,164,988,0.0010411319790209757,0.0010411319790209757,2,"[141, 142]","[4627, 1660]"
52,64,165,986,0.0010441528175239904,0.0010441528175239904,2,"[141, 142]","[191, 6080]"
53,64,165,987,0.0010403276690997105,0.0010403276690997105,2,"[141, 142]","[2344, 3912]"
54,64,165,987,0.0010409676690997067,6.399999999961992e-07,2,"[141, 142]","[2139, 4174]"
55,64,165,987,0.0010416176690997028,6.499999999961398e-07,2,"[141, 142]","[1880, 4307]"
56,64,165,987,0.0010441476690996878,2.529999999984975e-06,2,"[141, 142]","[1440, 4807]"
57,64,165,988,0.0010396422159741664,0.0010396422159741664,2,"[141, 142]","[3223, 3121]"
58,64,165,988,0.0010401322159741635,4.8999999999709e-07,2,"[141, 142]","[3122, 3121]"
59,64,165,988,0.0010405722159741609,4.399999999973869e-07,2,"[141, 142]","[3165, 3100]"
