,event,xi,xf,yi,yf,zi,zf,ti,tf,E,ParticleID,PDG
0,44.0,115.0,114.99263465156564,475.0,473.6144256253833,150.0,150.005908944063,0.0,0.0817025191218876,6.111815077201199,1.0,321.0
1,44.0,114.99263465156564,114.99240919741692,473.6144256253833,473.6057774238558,150.005908944063,150.00599042983484,0.0817025191218876,0.08222428116996555,0.041133667295017606,1.0,321.0
2,44.0,114.99240919741692,115.01587311953168,473.6057774238558,473.05863478873255,150.00599042983484,149.97744849856636,0.08222428116996555,0.11537739352158641,2.3297356850920545,1.0,321.0
3,44.0,115.01587311953168,115.08834768870531,473.05863478873255,471.8783857775191,149.97744849856636,149.90279450685014,0.11537739352158641,0.18768019075340148,5.867760101092066,1.0,321.0
4,44.0,115.08834768870531,115.09322642903707,471.8783857775191,471.77834751180063,149.90279450685014,149.89684484905172,0.18768019075340148,0.19395351228927962,0.4234832946026454,1.0,321.0
5,44.0,115.09322642903707,115.0973151175215,471.77834751180063,471.6935497824164,149.89684484905172,149.892075255488,0.19395351228927962,0.1992877775482753,0.33887819126801727,1.0,321.0
6,44.0,115.0973151175215,115.13824327705409,471.6935497824164,470.739851457762,149.892075255488,149.83856180190156,0.1992877775482753,0.2594456948067896,5.29085823642142,1.0,321.0
7,44.0,115.13824327705409,115.20122284165934,470.739851457762,469.82105899126856,149.83856180190156,149.78799766876722,0.2594456948067896,0.3189953827800318,4.995956346762663,1.0,321.0
8,44.0,115.20122284165934,115.25839563497678,469.82105899126856,468.9958629726974,149.78799766876722,149.74119943451223,0.3189953827800318,0.3738247592496148,4.617093881636929,1.0,321.0
9,44.0,115.25839563497678,115.32311488998297,468.9958629726974,468.2550143019215,149.74119943451223,149.6876587235946,0.3738247592496148,0.42439683806373807,4.476863074109983,1.0,321.0
10,44.0,115.32311488998297,115.37905580416093,468.2550143019215,467.59115538259493,149.6876587235946,149.6281152941921,0.42439683806373807,0.47094562346734703,3.8745320077232446,1.0,321.0
11,44.0,115.37905580416093,115.42238196718847,467.59115538259493,466.9907504044394,149.6281152941921,149.56341317574552,0.47094562346734703,0.514098874999282,3.7916159412821417,1.0,321.0
12,44.0,115.42238196718847,115.45866319088763,466.9907504044394,466.449189750634,149.56341317574552,149.5039234872392,0.514098874999282,0.5540057493824577,3.7725050464269136,1.0,321.0
13,44.0,115.45866319088763,115.49869861393456,466.449189750634,465.965211440753,149.5039234872392,149.44227634423015,0.5540057493824577,0.5907558821681275,3.498940381253135,1.0,321.0
14,44.0,115.49869861393456,115.5383070006275,465.965211440753,465.5301237402967,149.44227634423015,149.39483853883132,0.5907558821681275,0.6246417400888462,3.0190901783638004,1.0,321.0
15,44.0,115.5383070006275,115.57594088806793,465.5301237402967,465.137863422054,149.39483853883132,149.33841118935786,0.6246417400888462,0.6561065963730858,2.8803207041003382,1.0,321.0
16,44.0,115.57594088806793,115.61259473356556,465.137863422054,464.782318824378,149.33841118935786,149.2935048654502,0.6561065963730858,0.6853079437336748,3.129270302687253,1.0,321.0
17,44.0,115.61259473356556,115.64323806414805,464.782318824378,464.46537241988653,149.2935048654502,149.25313191027345,0.6853079437336748,0.7121037160383691,2.5753050776512394,1.0,321.0
18,44.0,115.64323806414805,115.66647110973383,464.46537241988653,464.1780834128702,149.25313191027345,149.21992749117436,0.7121037160383691,0.7369633269891063,2.483834783061865,1.0,321.0
19,44.0,115.66647110973383,115.68369432046097,464.1780834128702,463.91822856762155,149.21992749117436,149.19435443517375,0.7369633269891063,0.7599945576469762,2.1200746689668275,1.0,321.0
20,44.0,115.68369432046097,115.6944848707044,463.91822856762155,463.68196042294164,149.19435443517375,149.16474343167647,0.7599945576469762,0.7814968298074715,2.438504594211852,1.0,321.0
21,44.0,115.6944848707044,115.70559145938788,463.68196042294164,463.47141455625086,149.16474343167647,149.135631809739,0.7814968298074715,0.8012782510938264,2.010451371625246,1.0,321.0
22,44.0,115.70559145938788,115.72029251276774,463.47141455625086,463.2811479161719,149.135631809739,149.10866144647315,0.8012782510938264,0.8196726622720683,1.9917223717402894,1.0,321.0
23,44.0,115.72029251276774,115.7353484513781,463.2811479161719,463.10923906743335,149.10866144647315,149.08890584354097,0.8196726622720683,0.8367226094715217,1.8984427388242668,1.0,321.0
24,44.0,115.7353484513781,115.74807886646099,463.10923906743335,462.9539723200551,149.08890584354097,149.07526368135981,0.8367226094715217,0.8525197132605459,1.6315719847479824,1.0,321.0
25,44.0,115.74807886646099,115.75885697349649,462.9539723200551,462.81271244801565,149.07526368135981,149.0633729214877,0.8525197132605459,0.8672633947474696,1.71050751334507,1.0,321.0
26,44.0,115.75885697349649,115.76807010070175,462.81271244801565,462.68553606609714,149.0633729214877,149.05297298865025,0.8672633947474696,0.8809268966715276,1.7842033710191088,1.0,321.0
27,44.0,115.76807010070175,115.77690890009428,462.68553606609714,462.5723694309575,149.05297298865025,149.04451368754437,0.8809268966715276,0.8934915314949862,1.3891900804918862,1.0,321.0
28,44.0,115.77690890009428,115.78364038811071,462.5723694309575,462.469850652707,149.04451368754437,149.03306959639332,0.8934915314949862,0.9052212193582364,1.3636119213777884,1.0,321.0
29,44.0,115.78364038811071,115.79072361987224,462.469850652707,462.3772362435686,149.03306959639332,149.02172178419,0.9052212193582364,0.9161496214011486,1.3026434765944568,1.0,321.0
30,44.0,115.79072361987224,115.7996146388131,462.3772362435686,462.2935117127601,149.02172178419,149.01300599998723,0.9161496214011486,0.9263303028282469,1.2552773042144392,1.0,321.0
31,44.0,115.7996146388131,115.80746475441455,462.2935117127601,462.2178007421945,149.01300599998723,149.00592500204354,0.9263303028282469,0.935807891229271,1.2518182373716964,1.0,321.0
32,44.0,115.80746475441455,115.81354823522058,462.2178007421945,462.14962516786227,149.00592500204354,149.00027566211702,0.935807891229271,0.9446033765333159,1.2758996986079585,1.0,321.0
33,44.0,115.81354823522058,115.81870412681462,462.14962516786227,462.08906032040994,149.00027566211702,148.99313750387853,0.9446033765333159,0.9527257494821623,0.9563006496228067,1.0,321.0
34,44.0,115.81870412681462,115.82356199580727,462.08906032040994,462.0339966917487,148.99313750387853,148.98485643634996,0.9527257494821623,0.9603596825365599,1.0332806461065682,1.0,321.0
35,44.0,115.82356199580727,115.82581753029737,462.0339966917487,461.9841202462612,148.98485643634996,148.97760918009288,0.9603596825365599,0.9674825280106767,1.0195471825636846,1.0,321.0
36,44.0,115.82581753029737,115.82654594553541,461.9841202462612,461.9391837498614,148.97760918009288,148.9713405909422,0.9674825280106767,0.9741190491663014,0.9884134378653725,1.0,321.0
37,44.0,115.82654594553541,115.82706478995374,461.9391837498614,461.89875861638814,148.9713405909422,148.9662945691397,0.9741190491663014,0.9803020150753367,0.8842594011854904,1.0,321.0
