,event,pixel_x,pixel_y,reset_time,TSLR,nMCParticles,MC_TrackIDs,MC_Weights
0,92,127,1316,7.128931486853159e-05,7.128931486853159e-05,3,"[2457, 2509, 2510]","[6338, 4, 1]"
1,92,127,1316,7.142931486853151e-05,1.399999999999275e-07,3,"[2457, 2505, 2509]","[6227, 3, 12]"
2,92,127,1316,7.154931486853145e-05,1.1999999999993786e-07,4,"[2457, 2505, 2509, 2510]","[6221, 7, 17, 1]"
3,92,127,1316,7.169931486853137e-05,1.4999999999992233e-07,4,"[2457, 2505, 2506, 2509]","[6155, 14, 1, 31]"
4,92,127,1316,7.211931486853116e-05,4.199999999997825e-07,4,"[2457, 2505, 2509, 2510]","[6240, 27, 24, 1]"
5,92,127,1317,7.141052180035204e-05,7.141052180035204e-05,2,"[2457, 2509]","[6498, 21]"
6,92,127,1317,7.154052180035197e-05,1.2999999999993269e-07,4,"[2457, 2505, 2509, 2510]","[6209, 1, 34, 1]"
7,92,127,1317,7.165052180035192e-05,1.0999999999994304e-07,3,"[2457, 2509, 2510]","[6141, 23, 2]"
8,92,127,1317,7.177052180035185e-05,1.1999999999993786e-07,5,"[2457, 2509, 2510, 2513, 2514]","[6065, 28, 2, 1, 3]"
9,92,127,1317,7.193052180035177e-05,1.5999999999991715e-07,4,"[2457, 2509, 2510, 2513]","[6350, 18, 2, 3]"
10,92,127,1317,7.215052180035166e-05,2.1999999999988609e-07,5,"[2457, 2509, 2510, 2513, 2514]","[6311, 1, 1, 4, 5]"
11,92,128,1318,7.243621880426012e-05,7.243621880426012e-05,1,[2457],[6305]
12,92,128,1318,7.263621880426002e-05,1.9999999999989644e-07,1,[2457],[6544]
13,92,128,1318,7.288621880425989e-05,2.4999999999987055e-07,1,[2457],[5950]
14,92,129,1318,7.254183131293735e-05,7.254183131293735e-05,1,[2457],[6538]
15,92,129,1318,7.267183131293728e-05,1.2999999999993269e-07,1,[2457],[5970]
16,92,129,1318,7.280183131293721e-05,1.2999999999993269e-07,1,[2457],[6464]
17,92,129,1318,7.30118313129371e-05,2.0999999999989126e-07,1,[2457],[6140]
18,92,129,1319,7.290397649442426e-05,7.290397649442426e-05,1,[2457],[6250]
19,92,130,1319,7.229998483957615e-05,7.229998483957615e-05,1,[2457],[6253]
20,92,130,1319,7.244998483957607e-05,1.4999999999992233e-07,1,[2457],[6273]
21,92,130,1319,7.265998483957596e-05,2.0999999999989126e-07,1,[2457],[6325]
22,92,130,1320,7.242169052936321e-05,7.242169052936321e-05,1,[2457],[6275]
23,92,130,1320,7.256169052936314e-05,1.399999999999275e-07,1,[2457],[6329]
24,92,130,1320,7.270169052936307e-05,1.399999999999275e-07,1,[2457],[6228]
25,92,130,1320,7.299169052936292e-05,2.8999999999984984e-07,1,[2457],[6213]
26,92,131,1320,7.386143247091535e-05,7.386143247091535e-05,1,[2457],[6263]
27,92,131,1321,7.445222871999876e-05,7.445222871999876e-05,2,"[2457, 2522]","[6332, 8]"
