,event,xi,xf,yi,yf,zi,zf,ti,tf,E,ParticleID,PDG
0,90.0,115.0,114.97761411259232,475.0,473.6146628951732,150.0,149.98433189204607,0.0,0.0817025191218876,6.25848024450539,1.0,321.0
1,90.0,114.97761411259232,114.9609079256566,473.6146628951732,473.05179091082056,149.98433189204607,149.97670033384108,0.0817025191218876,0.1156857546443261,2.4093563495238524,1.0,321.0
2,90.0,114.9609079256566,114.92233083535737,473.05179091082056,471.864960584929,149.97670033384108,149.96838622448948,0.1156857546443261,0.18811488540394017,5.6609242859699975,1.0,321.0
3,90.0,114.92233083535737,114.87888088060785,471.864960584929,470.7965616885369,149.96838622448948,149.95582838669563,0.18811488540394017,0.2548806640581963,5.347337184992146,1.0,321.0
4,90.0,114.87888088060785,114.85604182523275,470.7965616885369,469.8350157049346,149.95582838669563,149.91981564181035,0.2548806640581963,0.31642162423992265,5.278345142305823,1.0,321.0
5,90.0,114.85604182523275,114.82462656603575,469.8350157049346,468.9742791259102,149.91981564181035,149.89611503613838,0.31642162423992265,0.37292923409475565,4.645082834763269,1.0,321.0
6,90.0,114.82462656603575,114.82267771299828,468.9742791259102,468.93146217524117,149.89611503613838,149.89485818557756,0.37292923409475565,0.3758098691144062,0.23181770618177092,1.0,321.0
7,90.0,114.82267771299828,114.79151364837438,468.93146217524117,468.16510276662984,149.89485818557756,149.88002964172955,0.3758098691144062,0.4274966464550721,4.2104723576194045,1.0,321.0
8,90.0,114.79151364837438,114.76900856697655,468.16510276662984,467.4716674937076,149.88002964172955,149.86630919990958,0.4274966464550721,0.475369403046943,4.055743124175391,1.0,321.0
9,90.0,114.76900856697655,114.7564845264058,467.4716674937076,466.84546898740007,149.86630919990958,149.85165854873577,0.475369403046943,0.5196576434829777,4.197463003395849,1.0,321.0
10,90.0,114.7564845264058,114.73833134714869,466.84546898740007,466.28588461989256,149.85165854873577,149.8515326450767,0.5196576434829777,0.5603278297047413,3.6669945359785525,1.0,321.0
11,90.0,114.73833134714869,114.70467148891403,466.28588461989256,465.78272371802075,149.8515326450767,149.8453085675501,0.5603278297047413,0.5979118396388007,3.618777930928152,1.0,321.0
12,90.0,114.70467148891403,114.6692093644128,465.78272371802075,465.3322090556636,149.8453085675501,149.84486603542783,0.5979118396388007,0.6325164464569476,3.017948099114049,1.0,321.0
13,90.0,114.6692093644128,114.6370892246869,465.3322090556636,464.923510645845,149.84486603542783,149.83637205372344,0.6325164464569476,0.6646869400117165,2.9311041119557992,1.0,321.0
14,90.0,114.6370892246869,114.59079156061986,464.923510645845,464.5555179033865,149.83637205372344,149.8256450351426,0.6646869400117165,0.6945400403961391,3.2796229713614062,1.0,321.0
15,90.0,114.59079156061986,114.53241219828642,464.5555179033865,464.23133412824166,149.8256450351426,149.8249279615336,0.6945400403961391,0.7218575757212924,2.729250694531262,1.0,321.0
16,90.0,114.53241219828642,114.4708044986567,464.23133412824166,463.94143329929193,149.8249279615336,149.82718955655577,0.7218575757212924,0.747113197802513,2.889842132222062,1.0,321.0
17,90.0,114.4708044986567,114.4177062803304,463.94143329929193,463.68382258702104,149.82718955655577,149.83253968404705,0.747113197802513,0.7702355969193069,2.4519708769438737,1.0,321.0
18,90.0,114.4177062803304,114.37131355956595,463.68382258702104,463.45225211333565,149.83253968404705,149.83572634123644,0.7702355969193069,0.7915903650143032,2.233634776835908,1.0,321.0
19,90.0,114.37131355956595,114.32860753919798,463.45225211333565,463.2441803229614,149.83572634123644,149.84893593162292,0.7915903650143032,0.8113704665299146,2.4719563872325003,1.0,321.0
20,90.0,114.32860753919798,114.28873945496491,463.2441803229614,463.0611864282293,149.84893593162292,149.86767823932774,0.8113704665299146,0.8294493931235847,1.9611957818054664,1.0,321.0
21,90.0,114.28873945496491,114.25348188153403,463.0611864282293,462.8963995452351,149.86767823932774,149.88747106363755,0.8294493931235847,0.8462111681554086,1.850443182735484,1.0,321.0
22,90.0,114.25348188153403,114.220863601748,462.8963995452351,462.7488367900054,149.88747106363755,149.9111922334103,0.8462111681554086,0.861757803909474,1.7430396331131537,1.0,321.0
23,90.0,114.220863601748,114.1901341015816,462.7488367900054,462.61603561514346,149.9111922334103,149.93250944550465,0.861757803909474,0.8761854414599026,1.5568485590064958,1.0,321.0
24,90.0,114.1901341015816,114.16125499580218,462.61603561514346,462.49613308953815,149.93250944550465,149.95385226382737,0.8761854414599026,0.8896356365802112,1.7318618217712367,1.0,321.0
25,90.0,114.16125499580218,114.13512561110937,462.49613308953815,462.3890938362507,149.95385226382737,149.9716029768668,0.8896356365802112,0.9020242484286641,1.3273208654971564,1.0,321.0
26,90.0,114.13512561110937,114.11198278256776,462.3890938362507,462.29175992893516,149.9716029768668,149.98986916554526,0.9020242484286641,0.9136183997442876,1.4661737184869241,1.0,321.0
27,90.0,114.11198278256776,114.09114127994584,462.29175992893516,462.20418902559516,149.98986916554526,150.00491697855645,0.9136183997442876,0.9243551084987941,1.4740881258504706,1.0,321.0
28,90.0,114.09114127994584,114.07016764168907,462.20418902559516,462.1269657541774,150.00491697855645,150.01936420594078,0.9243551084987941,0.934252206611016,1.248564673039577,1.0,321.0
29,90.0,114.07016764168907,114.04896915712557,462.1269657541774,462.05794935854993,150.01936420594078,150.03213730882052,0.934252206611016,0.9434572445156033,1.307030587055725,1.0,321.0
30,90.0,114.04896915712557,114.03219926108386,462.05794935854993,461.9963809607217,150.03213730882052,150.04644199863824,0.9434572445156033,0.9519591812572162,1.092432814405137,1.0,321.0
31,90.0,114.03219926108386,114.01702572136125,461.9963809607217,461.9409109416603,150.04644199863824,150.06020364467423,0.9519591812572162,0.9598921468797252,1.1166401109731365,1.0,321.0
32,90.0,114.01702572136125,114.00330643070484,461.9409109416603,461.89089656648105,150.06020364467423,150.07148901266748,0.9598921468797252,0.9672627672061611,1.0282626334074776,1.0,321.0
33,90.0,114.00330643070484,113.98974386086722,461.89089656648105,461.8460009339271,150.07148901266748,150.0807857597799,0.9672627672061611,0.974133930392317,0.9247731062616059,1.0,321.0
34,90.0,113.98974386086722,113.97644819450147,461.8460009339271,461.80557416705943,150.0807857597799,150.08896495258833,0.974133930392317,0.9805718134414043,0.8568498202758901,1.0,321.0
35,90.0,113.97644819450147,113.96548710440288,461.80557416705943,461.7691541270415,150.08896495258833,150.09913368664505,0.9805718134414043,0.9866223051639877,0.8821623663204102,1.0,321.0
36,90.0,113.96548710440288,113.95617484232454,461.7691541270415,461.7364201762215,150.09913368664505,150.10950907823218,0.9866223051639877,0.9922889498333715,0.8599691372684877,1.0,321.0
37,90.0,113.95617484232454,113.9485064960641,461.7364201762215,461.7066782446426,150.10950907823218,150.1187147290471,0.9922889498333715,0.9975972313491833,0.8658918977624365,1.0,321.0
38,90.0,113.9485064960641,113.94201448244519,461.7066782446426,461.679956639611,150.1187147290471,150.12708344320976,0.9975972313491833,1.0025622199804467,0.722925318896303,1.0,321.0
39,90.0,113.94201448244519,113.93677763482162,461.679956639611,461.6555702602926,150.12708344320976,150.13491337803586,1.0025622199804467,1.0072556476110064,0.7367679502706099,1.0,321.0
40,90.0,113.93677763482162,113.93182843120553,461.6555702602926,461.63385604114546,150.13491337803586,150.14287726791653,1.0072556476110064,1.011688088039222,0.7151870771887251,1.0,321.0
41,90.0,113.93182843120553,113.92697653283271,461.63385604114546,461.6146158481304,150.14287726791653,150.15086878081496,1.011688088039222,1.0158842528161947,0.7804014067986296,1.0,321.0
42,90.0,113.92697653283271,113.92270901606067,461.6146158481304,461.59744438968585,150.15086878081496,150.15806264688345,1.0158842528161947,1.0198444180895716,0.6499090091625256,1.0,321.0
43,90.0,113.92270901606067,113.91877525076822,461.59744438968585,461.58248056268155,150.15806264688345,150.16586480883913,1.0198444180895716,1.0236281126258686,0.7461009167264159,1.0,321.0
44,90.0,113.91877525076822,113.91521642068524,461.58248056268155,461.56919753218165,150.16586480883913,150.17292013507665,1.0236281126258686,1.0272356809863459,0.613014900721835,1.0,321.0
45,90.0,113.91521642068524,113.91245178217989,461.56919753218165,461.55656729533666,150.17292013507665,150.17837177347567,1.0272356809863459,1.030723267474196,0.7197294410407958,1.0,321.0
46,90.0,113.91245178217989,113.91025220786632,461.55656729533666,461.5449696856464,150.17837177347567,150.18241850467697,1.030723267474196,1.034103146181065,0.7449646047261061,1.0,321.0
47,90.0,113.91025220786632,113.90834128599661,461.5449696856464,461.53469683366,150.18241850467697,150.1857386432575,1.034103146181065,1.0374127330006486,0.7878990304630263,1.0,321.0
48,90.0,113.90834128599661,113.90783464360788,461.53469683366,461.5255708736793,150.1857386432575,150.187426982178,1.0374127330006486,1.040677569722611,0.9077420819737334,1.0,321.0
49,90.0,113.90783464360788,113.9080610245503,461.5255708736793,461.5191234540184,150.187426982178,150.1884469374905,1.040677569722611,1.0436336448506893,1.0860791535624748,1.0,321.0
50,90.0,113.9080610245503,113.90811401231322,461.5191234540184,461.51854660208664,150.1884469374905,150.1885337781326,1.0436336448506893,1.0442356471128864,0.2602245675827992,1.0,321.0
51,90.0,114.9609079256566,114.96084973393162,473.05179091082056,473.04439610097324,149.97670033384108,149.97663477873203,0.1156857546443261,0.11599442150799603,0.011269877855993572,2.0,11.0
52,90.0,114.96084973393162,114.95580078885958,473.04439610097324,473.0297854912254,149.97663477873203,149.97805233354862,0.11599442150799603,0.11664734690969036,0.03646182744390078,2.0,11.0
53,90.0,114.95580078885958,114.94380679426813,473.0297854912254,473.025992733758,149.97805233354862,149.97430170235748,0.11664734690969036,0.11721525948008481,0.04732691558889359,2.0,11.0
54,90.0,114.94380679426813,114.93676039667415,473.025992733758,473.0249505389159,149.97430170235748,149.96701945642357,0.11721525948008481,0.11767680544623657,0.03433163171276972,2.0,11.0
55,90.0,114.93676039667415,114.94231186398808,473.0249505389159,473.0256477432357,149.96701945642357,149.96102999448075,0.11767680544623657,0.11806448684001646,0.025538569594296304,2.0,11.0
56,90.0,114.94231186398808,114.94857716872646,473.0256477432357,473.02353210975554,149.96102999448075,149.9626396021454,0.11806448684001646,0.11839931643967665,0.028739182158183326,2.0,11.0
57,90.0,114.94857716872646,114.94954488235298,473.02353210975554,473.02137294028273,149.9626396021454,149.96743363310264,0.11839931643967665,0.11867710366050911,0.017236161365219344,2.0,11.0
58,90.0,114.94954488235298,114.95272143870773,473.02137294028273,473.0200262635788,149.96743363310264,149.97036817322422,0.11867710366050911,0.11892204064811263,0.021119347645986608,2.0,11.0
59,90.0,114.95272143870773,114.95043177823132,473.0200262635788,473.0186533420457,149.97036817322422,149.97277409725552,0.11892204064811263,0.1191282018558001,0.01714983665358572,2.0,11.0
60,90.0,114.95043177823132,114.94908469929396,473.0186533420457,473.01839616860497,149.97277409725552,149.97531755077463,0.1191282018558001,0.11930405171821179,0.014980273144197564,2.0,11.0
61,90.0,114.94908469929396,114.94938571006647,473.01839616860497,473.0204123456594,149.97531755077463,149.97422290070477,0.11930405171821179,0.11945403021481339,0.01354500095701247,2.0,11.0
62,90.0,114.94938571006647,114.94756691876746,473.0204123456594,473.02052069667553,149.97422290070477,149.9742735368314,0.11945403021481339,0.11958074040388841,0.0189139364616036,2.0,11.0
63,90.0,114.94756691876746,114.9467109358141,473.02052069667553,473.0198000458603,149.9742735368314,149.97390254648167,0.11958074040388841,0.11967402217974268,0.009416198863250244,2.0,11.0
64,90.0,114.9467109358141,114.94662531140065,473.0198000458603,473.0189478998612,149.97390254648167,149.97373040562715,0.11967402217974268,0.11974938169491772,0.009971732068035716,2.0,11.0
65,90.0,114.94662531140065,114.94662530815651,473.0189478998612,473.0183837705963,149.97373040562715,149.9736792916072,0.11974938169491772,0.1198043730920007,0.01551647310150895,2.0,11.0
66,90.0,114.94662530815651,114.94672733138495,473.0183837705963,473.01851215755426,149.9736792916072,149.97377194601404,0.1198043730920007,0.11982891877310253,0.01760969242188943,2.0,11.0
67,90.0,114.82267771299828,114.82117082955419,468.93146217524117,468.9247278971255,149.89485818557756,149.89511791747822,0.3758098691144062,0.3761041159650674,0.020570188260164077,3.0,11.0
68,90.0,114.82117082955419,114.81342186389699,468.9247278971255,468.914893871394,149.89511791747822,149.8915566232192,0.3761041159650674,0.37666810139333323,0.030586750439891095,3.0,11.0
69,90.0,114.81342186389699,114.81859497845531,468.914893871394,468.90519245326016,149.8915566232192,149.89306441852116,0.37666810139333323,0.3771628937599238,0.05831808154312986,3.0,11.0
70,90.0,114.81859497845531,114.81888466287663,468.90519245326016,468.89773210243857,149.89306441852116,149.89118335196997,0.3771628937599238,0.37753182200918545,0.03593234618968648,3.0,11.0
71,90.0,114.81888466287663,114.82422770697295,468.89773210243857,468.8981956759227,149.89118335196997,149.88894876837918,0.37753182200918545,0.37782794185468804,0.017701592004680664,3.0,11.0
72,90.0,114.82422770697295,114.82119489347397,468.8981956759227,468.90082395871315,149.88894876837918,149.88605717005544,0.37782794185468804,0.37808975120113614,0.08192318966682509,3.0,11.0
73,90.0,114.82119489347397,114.8216585476484,468.90082395871315,468.90207414220697,149.88605717005544,149.8851611225004,0.37808975120113614,0.3782057069521296,0.016251768895227038,3.0,11.0
74,90.0,114.8216585476484,114.82222747386183,468.90207414220697,468.9019413590804,149.8851611225004,149.8842731483244,0.3782057069521296,0.37829240124686586,0.016306536924137964,3.0,11.0
75,90.0,114.82222747386183,114.82249873687331,468.9019413590804,468.9020908811282,149.8842731483244,149.88473127193555,0.37829240124686586,0.3783464331125003,0.020864142960698884,3.0,11.0
76,90.0,114.82249873687331,114.8224760673312,468.9020908811282,468.90202720935474,149.88473127193555,149.88479666687994,0.3783464331125003,0.3783612821106596,0.011799701392513698,3.0,11.0
77,90.0,113.90811401231322,115.28986204294627,461.51854660208664,467.1255824977654,150.1885337781326,149.0336810871337,1.3712848178213046,1.5865849532567586,11.517935744126373,5.0,-13.0
78,90.0,115.28986204294627,115.64935238392175,467.1255824977654,468.44950180881995,149.0336810871337,148.7226037145071,1.5865849532567586,1.638513762724096,2.8846246645901292,5.0,-13.0
79,90.0,115.64935238392175,115.96925690206356,468.44950180881995,469.57951441854794,148.7226037145071,148.44237514627852,1.638513762724096,1.6832316926863466,2.520782693562092,5.0,-13.0
80,90.0,115.96925690206356,116.67730026428796,469.57951441854794,472.2042283752112,148.44237514627852,147.8507741458045,1.6832316926863466,1.7866871370862443,5.695756529770457,5.0,-13.0
81,90.0,116.67730026428796,117.5726934662227,472.2042283752112,474.9402890014485,147.8507741458045,147.18313710913802,1.7866871370862443,1.8973336522989142,6.288398329466039,5.0,-13.0
82,90.0,117.5726934662227,117.80827794211386,474.9402890014485,475.5956010930885,147.18313710913802,147.01096169362296,1.8973336522989142,1.9244001477327113,1.6159939521543734,5.0,-13.0
83,90.0,117.80827794211386,118.4663233362384,475.5956010930885,477.5887634136184,147.01096169362296,146.50662990514545,1.9244001477327113,2.0060528315246025,4.032090746936579,5.0,-13.0
84,90.0,118.4663233362384,119.25021415001027,477.5887634136184,480.3470147589608,146.50662990514545,145.7859103564959,2.0060528315246025,2.118607205161701,5.787687589156567,5.0,-13.0
