,event,pixel_x,pixel_y,reset_time,TSLR,nMCParticles,MC_TrackIDs,MC_Weights
0,45,182,1145,0.001042735694913419,0.001042735694913419,2,"[3, 30]","[2524, 3733]"
1,45,182,1146,0.001041754626450927,0.001041754626450927,2,"[3, 30]","[5265, 1004]"
2,45,183,1141,0.0010421050588254278,0.0010421050588254278,6,"[30, 34, 168, 169, 172, 173]","[5587, 629, 18, 3, 15, 1]"
3,45,183,1142,0.0010416400769939639,0.0010416400769939639,4,"[30, 34, 172, 173]","[6296, 4, 14, 1]"
4,45,183,1143,0.001041414917384423,0.001041414917384423,2,"[30, 172]","[6294, 1]"
5,45,183,1143,0.0010421949173844184,7.799999999953677e-07,1,[30],[6230]
6,45,183,1144,0.0010413574815519694,0.0010413574815519694,2,"[3, 30]","[26, 6252]"
7,45,183,1144,0.0010420174815519655,6.599999999960804e-07,2,"[3, 30]","[18, 6216]"
8,45,183,1145,0.0010409061266015457,0.0010409061266015457,2,"[3, 30]","[4206, 2110]"
9,45,183,1145,0.001041376126601543,4.6999999999720876e-07,2,"[3, 30]","[3394, 2906]"
10,45,183,1145,0.0010417861266015405,4.099999999975651e-07,2,"[3, 30]","[2966, 3250]"
11,45,183,1145,0.0010423161266015374,5.299999999968524e-07,2,"[3, 30]","[2520, 3738]"
12,45,183,1146,0.001040548713242176,0.001040548713242176,2,"[3, 30]","[6121, 256]"
13,45,183,1146,0.0010409087132421738,3.5999999999786203e-07,2,"[3, 30]","[5791, 367]"
14,45,183,1146,0.0010411787132421722,2.699999999983965e-07,2,"[3, 30]","[5763, 467]"
15,45,183,1146,0.0010414287132421707,2.499999999985153e-07,2,"[3, 30]","[5878, 519]"
16,45,183,1146,0.0010416787132421692,2.499999999985153e-07,2,"[3, 30]","[5735, 577]"
17,45,183,1146,0.0010419487132421676,2.699999999983965e-07,2,"[3, 30]","[5401, 673]"
18,45,183,1146,0.0010423487132421652,3.999999999976245e-07,2,"[3, 30]","[5530, 787]"
19,45,184,1138,0.0010428513699861379,0.0010428513699861379,3,"[30, 36, 38]","[5332, 939, 2]"
20,45,184,1139,0.0010418174365730232,0.0010418174365730232,3,"[30, 34, 36]","[6175, 121, 23]"
21,45,184,1139,0.0010427574365730176,9.399999999944175e-07,3,"[30, 34, 36]","[6024, 137, 47]"
22,45,184,1140,0.001041359249735072,0.001041359249735072,3,"[30, 34, 168]","[5074, 1195, 5]"
23,45,184,1140,0.001041869249735069,5.099999999969712e-07,3,"[30, 34, 168]","[4751, 1598, 4]"
24,45,184,1140,0.001042369249735066,4.999999999970306e-07,3,"[30, 34, 168]","[4387, 1754, 6]"
25,45,184,1141,0.0010414562710221154,0.0010414562710221154,6,"[30, 34, 168, 169, 172, 173]","[5508, 730, 19, 2, 14, 1]"
26,45,184,1141,0.0010421662710221112,7.099999999957834e-07,5,"[30, 34, 168, 169, 172]","[5030, 1194, 10, 2, 10]"
27,45,184,1142,0.001041779865622554,0.001041779865622554,5,"[30, 34, 168, 172, 173]","[6253, 8, 1, 18, 3]"
28,45,184,1143,0.0010426371531574957,0.0010426371531574957,1,[30],[6262]
29,45,184,1145,0.001041575829118813,0.001041575829118813,2,"[3, 30]","[5675, 621]"
30,45,184,1145,0.0010431158291188038,1.5399999999908542e-06,2,"[3, 30]","[5499, 705]"
31,45,184,1146,0.0010407777376704374,0.0010407777376704374,2,"[3, 30]","[6308, 27]"
32,45,184,1146,0.0010411377376704353,3.5999999999786203e-07,2,"[3, 30]","[6277, 23]"
33,45,184,1146,0.0010413977376704337,2.599999999984559e-07,2,"[3, 30]","[6101, 33]"
34,45,184,1146,0.0010416477376704323,2.499999999985153e-07,2,"[3, 30]","[6354, 28]"
35,45,184,1146,0.0010418977376704308,2.499999999985153e-07,2,"[3, 30]","[6276, 29]"
36,45,184,1146,0.001042187737670429,2.8999999999827775e-07,2,"[3, 30]","[6214, 39]"
37,45,184,1146,0.0010426177376704265,4.299999999974463e-07,2,"[3, 30]","[6035, 33]"
38,45,185,1134,0.0010422504669744,0.0010422504669744,4,"[30, 38, 40, 148]","[2053, 4173, 20, 15]"
39,45,185,1135,0.0010363147477045237,0.0010363147477045237,1,[38],[6265]
40,45,185,1135,0.0010407447477044974,4.429999999973691e-06,4,"[30, 38, 40, 148]","[256, 5911, 77, 2]"
41,45,185,1135,0.0010424647477044872,1.7199999999897853e-06,4,"[30, 38, 40, 148]","[4421, 237, 1582, 29]"
42,45,185,1136,0.0010405226325786864,0.0010405226325786864,3,"[30, 38, 40]","[159, 6073, 42]"
43,45,185,1136,0.00104158263257868,1.0599999999937049e-06,3,"[30, 38, 40]","[2473, 3328, 460]"
44,45,185,1136,0.0010422326325786762,6.499999999961398e-07,4,"[30, 36, 38, 40]","[3959, 1, 1657, 686]"
45,45,185,1136,0.0010431726325786706,9.399999999944175e-07,4,"[30, 38, 40, 148]","[4598, 928, 666, 1]"
46,45,185,1137,0.0010416525633504402,0.0010416525633504402,4,"[30, 36, 38, 40]","[3510, 210, 2539, 7]"
47,45,185,1137,0.0010422525633504366,5.999999999964367e-07,4,"[30, 36, 38, 40]","[4739, 322, 1186, 10]"
48,45,185,1137,0.0010430125633504321,7.599999999954865e-07,4,"[30, 36, 38, 40]","[5081, 320, 860, 4]"
49,45,185,1138,0.0010418278466838703,0.0010418278466838703,3,"[30, 36, 38]","[5137, 1113, 34]"
50,45,185,1138,0.0010424578466838666,6.299999999962586e-07,3,"[30, 36, 38]","[5000, 1189, 27]"
51,45,185,1139,0.00104226993324291,0.00104226993324291,3,"[30, 34, 36]","[6104, 8, 146]"
52,45,185,1145,0.0010415822027750228,0.0010415822027750228,2,"[3, 30]","[6268, 2]"
53,45,185,1146,0.0010408130147988063,0.0010408130147988063,1,[3],[6274]
54,45,185,1146,0.001041203014798804,3.8999999999768387e-07,1,[3],[6381]
55,45,185,1146,0.0010415030147988022,2.9999999999821836e-07,1,[3],[6165]
56,45,185,1146,0.0010418030147988004,2.9999999999821836e-07,1,[3],[6347]
57,45,185,1146,0.0010421330147987985,3.299999999980402e-07,1,[3],[6091]
58,45,185,1146,0.0010427430147987948,6.099999999963773e-07,1,[3],[6263]
59,45,186,1132,0.0010416112625875162,0.0010416112625875162,3,"[30, 38, 153]","[6278, 1, 3]"
60,45,186,1133,0.001041397771001779,0.001041397771001779,3,"[30, 38, 153]","[5887, 444, 2]"
61,45,186,1133,0.0010421977710017743,7.99999999995249e-07,1,[30],[6201]
62,45,186,1134,0.0010344603051624412,0.0010344603051624412,1,[38],[6326]
63,45,186,1134,0.0010351303051624372,6.69999999996021e-07,1,[38],[6244]
64,45,186,1134,0.001037520305162423,2.3899999999858063e-06,1,[38],[6183]
65,45,186,1134,0.0010415303051623992,4.009999999976185e-06,4,"[30, 38, 40, 148]","[5916, 299, 23, 18]"
66,45,186,1134,0.0010422703051623948,7.399999999956053e-07,4,"[30, 40, 148, 149]","[6198, 34, 38, 2]"
67,45,186,1135,0.0010344742865990564,0.0010344742865990564,1,[38],[6272]
68,45,186,1135,0.001035044286599053,5.699999999966149e-07,1,[38],[6326]
69,45,186,1135,0.0010356342865990495,5.899999999964961e-07,1,[38],[6188]
70,45,186,1135,0.0010365442865990441,9.099999999945957e-07,1,[38],[6221]
71,45,186,1135,0.0010378042865990366,1.259999999992517e-06,1,[38],[6263]
72,45,186,1135,0.0010391242865990288,1.3199999999921608e-06,2,"[30, 38]","[1, 6240]"
73,45,186,1135,0.001041264286599016,2.139999999987291e-06,4,"[30, 38, 40, 148]","[2242, 3459, 587, 17]"
74,45,186,1135,0.0010419942865990117,7.299999999956647e-07,5,"[30, 38, 40, 148, 149]","[4614, 157, 1386, 43, 1]"
75,45,186,1135,0.0010427342865990074,7.399999999956053e-07,5,"[30, 38, 40, 148, 149]","[4622, 36, 1567, 47, 2]"
76,45,186,1136,0.0010384213456724994,0.0010384213456724994,1,[38],[6273]
77,45,186,1136,0.0010395513456724927,1.1299999999932892e-06,1,[38],[6232]
78,45,186,1136,0.0010404213456724875,8.699999999948332e-07,3,"[30, 38, 40]","[89, 6134, 41]"
79,45,186,1136,0.0010412413456724826,8.199999999951302e-07,3,"[30, 38, 40]","[922, 4918, 442]"
80,45,186,1136,0.0010419113456724787,6.69999999996021e-07,4,"[30, 38, 40, 148]","[2629, 2546, 1067, 1]"
81,45,186,1136,0.0010426413456724743,7.299999999956647e-07,3,"[30, 38, 40]","[3723, 1141, 1406]"
82,45,186,1137,0.0010420469389334987,0.0010420469389334987,4,"[30, 36, 38, 40]","[1901, 20, 4323, 17]"
83,45,186,1145,0.0010411366772648191,0.0010411366772648191,1,[3],[6275]
84,45,186,1145,0.0010418766772648147,7.399999999956053e-07,1,[3],[6242]
85,45,186,1146,0.0010407923383580202,0.0010407923383580202,1,[3],[6300]
86,45,186,1146,0.0010412323383580176,4.399999999973869e-07,1,[3],[6331]
87,45,186,1146,0.0010416023383580154,3.6999999999780264e-07,1,[3],[6215]
88,45,186,1146,0.0010420423383580128,4.399999999973869e-07,1,[3],[6179]
89,45,187,1126,0.0010433135374650457,0.0010433135374650457,3,"[30, 90, 136]","[6156, 6, 107]"
90,45,187,1127,0.0010412970964922478,0.0010412970964922478,3,"[30, 42, 136]","[3315, 2, 2983]"
