,event,xi,xf,yi,yf,zi,zf,ti,tf,E,ParticleID,PDG
0,38.0,115.0,114.99315813980677,475.0,473.8884240356342,150.0,150.0261549786586,0.0,0.06561048482648552,4.624275105082551,1.0,321.0
1,38.0,114.99315813980677,115.00141548821041,473.8884240356342,473.17979493113125,150.0261549786586,150.06048575742057,0.06561048482648552,0.10821042804548608,3.2261658768403683,1.0,321.0
2,38.0,115.00141548821041,115.04469892962695,473.17979493113125,471.9839495159531,150.06048575742057,150.13574510563902,0.10821042804548608,0.18118547884747288,5.927147147361754,1.0,321.0
3,38.0,115.04469892962695,115.05104463953596,471.9839495159531,471.78287964070466,150.13574510563902,150.1542167635546,0.18118547884747288,0.19378376184980203,0.865439181076188,1.0,321.0
4,38.0,115.05104463953596,115.08618022480243,471.78287964070466,470.7379874216264,150.1542167635546,150.26629870963376,0.19378376184980203,0.25968235106959886,5.6564348951749,1.0,321.0
5,38.0,115.08618022480243,115.1107013624398,470.7379874216264,470.02441433655605,150.26629870963376,150.33902485559068,0.25968235106959886,0.30582563656280953,3.6207630761133704,1.0,321.0
6,38.0,115.1107013624398,115.1253856041729,470.02441433655605,469.1643820477804,150.33902485559068,150.41843358551398,0.30582563656280953,0.3624431834255329,4.829181424297548,1.0,321.0
7,38.0,115.1253856041729,115.1354946938583,469.1643820477804,468.39305870113003,150.41843358551398,150.49903143447722,0.3624431834255329,0.41456569020957806,4.190794073894462,1.0,321.0
8,38.0,115.1354946938583,115.12683868854424,468.39305870113003,467.693978591228,150.49903143447722,150.56631082530674,0.41456569020957806,0.4628814098507644,4.029066745580482,1.0,321.0
9,38.0,115.12683868854424,115.10573929842496,467.693978591228,467.0621865035413,150.56631082530674,150.62636047005736,0.4628814098507644,0.5076252464157888,3.7122481574636654,1.0,321.0
10,38.0,115.10573929842496,115.08392290252303,467.0621865035413,466.4898198523639,150.62636047005736,150.6827788410112,0.5076252464157888,0.5491543921363873,3.7021276696777323,1.0,321.0
11,38.0,115.08392290252303,115.06077080717344,466.4898198523639,465.97281608850597,150.6827788410112,150.71913093270683,0.5491543921363873,0.5875490546369044,3.533577171243938,1.0,321.0
12,38.0,115.06077080717344,115.04135047608875,465.97281608850597,465.50712844104135,150.71913093270683,150.747602399019,0.5875490546369044,0.623016651785144,3.2948232801235906,1.0,321.0
13,38.0,115.04135047608875,115.0370351372583,465.50712844104135,465.08680945844026,150.747602399019,150.76483686922217,0.623016651785144,0.6558112504579093,3.4376860597530663,1.0,321.0
14,38.0,115.0370351372583,115.0417199544155,465.08680945844026,464.71236889614,150.76483686922217,150.7750491290331,0.6558112504579093,0.6858780804240894,2.6540787862182182,1.0,321.0
15,38.0,115.0417199544155,115.04483741138124,464.71236889614,464.37218673136204,150.7750491290331,150.791622241674,0.6858780804240894,0.7138840313376722,2.6412864029687184,1.0,321.0
