,event,pixel_x,pixel_y,reset_time,TSLR,nMCParticles,MC_TrackIDs,MC_Weights
0,56,283,1205,0.0009443686101009925,0.0009443686101009925,1,[75],[6269]
1,56,283,1205,0.0009448586101009949,4.900000000024026e-07,1,[75],[6375]
2,56,283,1205,0.0009453186101009972,4.600000000022555e-07,1,[75],[6135]
3,56,283,1205,0.0009463286101010021,1.0100000000049522e-06,1,[75],[6226]
4,56,284,1205,0.0009444110400969231,0.0009444110400969231,1,[75],[6254]
5,56,284,1205,0.0009452410400969272,8.300000000040697e-07,1,[75],[6276]
6,56,285,1154,0.0009145838453614851,0.0009145838453614851,2,"[1, 5]","[5509, 758]"
7,56,285,1155,0.0009137226450097211,0.0009137226450097211,2,"[1, 5]","[5938, 392]"
8,56,285,1155,0.0009140526450097228,3.3000000000161806e-07,2,"[1, 5]","[5695, 517]"
9,56,285,1155,0.000914312645009724,2.6000000000127484e-07,2,"[1, 5]","[5675, 620]"
10,56,285,1155,0.0009145526450097252,2.4000000000117677e-07,2,"[1, 5]","[5584, 735]"
11,56,285,1155,0.0009148026450097264,2.500000000012258e-07,2,"[1, 5]","[5428, 881]"
12,56,285,1155,0.0009150926450097279,2.9000000000142193e-07,2,"[1, 5]","[5156, 984]"
13,56,285,1155,0.0009156226450097305,5.300000000025987e-07,2,"[1, 5]","[4962, 1238]"
14,56,285,1156,0.0009138591771285248,0.0009138591771285248,2,"[1, 5]","[6308, 67]"
15,56,285,1156,0.0009142791771285268,4.2000000000205935e-07,2,"[1, 5]","[6098, 117]"
16,56,285,1156,0.0009146691771285288,3.9000000000191225e-07,2,"[1, 5]","[6043, 216]"
17,56,285,1156,0.0009152091771285314,5.400000000026477e-07,2,"[1, 5]","[5758, 415]"
18,56,285,1157,0.0009141923555067331,0.0009141923555067331,2,"[1, 5]","[6300, 2]"
19,56,285,1157,0.0009152623555067383,1.0700000000052464e-06,2,"[1, 5]","[6222, 12]"
20,56,286,1154,0.0009147612968013658,0.0009147612968013658,2,"[1, 5]","[5263, 993]"
21,56,286,1155,0.0009136312235859364,0.0009136312235859364,2,"[1, 5]","[5775, 545]"
22,56,286,1155,0.0009139512235859379,3.2000000000156903e-07,2,"[1, 5]","[5593, 765]"
23,56,286,1155,0.0009141812235859391,2.3000000000112774e-07,2,"[1, 5]","[5342, 937]"
24,56,286,1155,0.00091438122358594,2.0000000000098064e-07,2,"[1, 5]","[5184, 1078]"
25,56,286,1155,0.0009145612235859409,1.8000000000088258e-07,2,"[1, 5]","[4735, 1305]"
26,56,286,1155,0.0009147612235859419,2.0000000000098064e-07,2,"[1, 5]","[4931, 1562]"
27,56,286,1155,0.0009149712235859429,2.1000000000102968e-07,2,"[1, 5]","[4514, 1642]"
28,56,286,1155,0.0009152412235859443,2.7000000000132387e-07,2,"[1, 5]","[4106, 2148]"
29,56,286,1155,0.0009156612235859463,4.2000000000205935e-07,2,"[1, 5]","[3510, 2594]"
30,56,286,1156,0.0009135039095092502,0.0009135039095092502,2,"[1, 5]","[6205, 88]"
31,56,286,1156,0.0009138139095092517,3.1000000000152e-07,2,"[1, 5]","[6234, 207]"
32,56,286,1156,0.0009140239095092528,2.1000000000102968e-07,2,"[1, 5]","[5737, 310]"
33,56,286,1156,0.0009142139095092537,1.900000000009316e-07,2,"[1, 5]","[5996, 407]"
34,56,286,1156,0.0009143839095092545,1.7000000000083355e-07,2,"[1, 5]","[5636, 585]"
35,56,286,1156,0.0009145539095092554,1.7000000000083355e-07,2,"[1, 5]","[5372, 758]"
36,56,286,1156,0.0009147339095092563,1.8000000000088258e-07,2,"[1, 5]","[5422, 1067]"
37,56,286,1156,0.0009149339095092572,2.0000000000098064e-07,2,"[1, 5]","[4867, 1403]"
38,56,286,1156,0.0009151539095092583,2.200000000010787e-07,2,"[1, 5]","[4224, 1852]"
39,56,286,1156,0.0009154539095092598,3.0000000000147097e-07,2,"[1, 5]","[3471, 2685]"
40,56,286,1156,0.0009159639095092623,5.100000000025006e-07,2,"[1, 5]","[2241, 4016]"
41,56,286,1157,0.0009133688355254325,0.0009133688355254325,2,"[1, 5]","[6283, 2]"
42,56,286,1157,0.000913678835525434,3.1000000000152e-07,2,"[1, 5]","[6367, 11]"
43,56,286,1157,0.0009138988355254351,2.200000000010787e-07,2,"[1, 5]","[6130, 16]"
44,56,286,1157,0.000914088835525436,1.900000000009316e-07,2,"[1, 5]","[6184, 29]"
45,56,286,1157,0.000914278835525437,1.900000000009316e-07,2,"[1, 5]","[6460, 48]"
46,56,286,1157,0.0009144588355254378,1.8000000000088258e-07,2,"[1, 5]","[6056, 90]"
47,56,286,1157,0.0009146588355254388,2.0000000000098064e-07,2,"[1, 5]","[5976, 144]"
48,56,286,1157,0.00091490883552544,2.500000000012258e-07,2,"[1, 5]","[5935, 321]"
49,56,286,1157,0.0009152888355254419,3.800000000018632e-07,2,"[1, 5]","[5568, 729]"
50,56,286,1157,0.0009163788355254473,1.0900000000053445e-06,2,"[1, 5]","[3330, 2834]"
51,56,286,1158,0.0009131482579306729,0.0009131482579306729,1,[1],[6333]
52,56,286,1158,0.0009134682579306745,3.2000000000156903e-07,1,[1],[6240]
53,56,286,1158,0.0009137082579306757,2.4000000000117677e-07,1,[1],[6379]
54,56,286,1158,0.0009139082579306767,2.0000000000098064e-07,1,[1],[6244]
55,56,286,1158,0.0009140982579306776,1.900000000009316e-07,2,"[1, 5]","[6088, 1]"
56,56,286,1158,0.0009143082579306786,2.1000000000102968e-07,2,"[1, 5]","[6426, 1]"
57,56,286,1158,0.0009145382579306797,2.3000000000112774e-07,2,"[1, 5]","[6096, 8]"
58,56,286,1158,0.0009148782579306814,3.400000000016671e-07,2,"[1, 5]","[6304, 10]"
59,56,286,1159,0.0009130206053221596,0.0009130206053221596,1,[1],[6320]
60,56,286,1159,0.0009133606053221613,3.400000000016671e-07,1,[1],[6260]
61,56,286,1159,0.0009136206053221626,2.6000000000127484e-07,1,[1],[6401]
62,56,286,1159,0.0009138506053221637,2.3000000000112774e-07,1,[1],[6055]
63,56,286,1159,0.000914110605322165,2.6000000000127484e-07,1,[1],[6366]
64,56,286,1159,0.0009144206053221665,3.1000000000152e-07,1,[1],[6160]
65,56,286,1159,0.0009150306053221695,6.10000000002991e-07,1,[1],[6220]
66,56,286,1160,0.000912919849349068,0.000912919849349068,1,[1],[6308]
67,56,286,1160,0.0009133198493490699,4.000000000019613e-07,1,[1],[6351]
68,56,286,1160,0.0009136598493490716,3.400000000016671e-07,1,[1],[6233]
69,56,286,1160,0.0009140298493490734,3.700000000018142e-07,1,[1],[6244]
70,56,286,1160,0.0009147198493490768,6.900000000033832e-07,1,[1],[6143]
71,56,286,1161,0.0009129394385886358,0.0009129394385886358,1,[1],[6314]
72,56,286,1161,0.0009134694385886384,5.300000000025987e-07,1,[1],[6227]
73,56,286,1161,0.000914219438588642,7.500000000036774e-07,1,[1],[6252]
74,56,286,1162,0.0009131122968817694,0.0009131122968817694,1,[1],[6304]
75,56,287,1156,0.0009156084174589284,0.0009156084174589284,2,"[1, 5]","[1649, 4625]"
76,56,287,1157,0.0009151404405923855,0.0009151404405923855,2,"[1, 5]","[4140, 2158]"
77,56,287,1157,0.0009158904405923892,7.500000000036774e-07,2,"[1, 5]","[338, 5902]"
78,56,287,1157,0.0009165604405923925,6.700000000032852e-07,2,"[1, 5]","[22, 6198]"
79,56,287,1158,0.0009140863698169817,0.0009140863698169817,2,"[1, 5]","[6293, 7]"
80,56,287,1158,0.0009156663698169894,1.580000000007747e-06,2,"[1, 5]","[4414, 1793]"
81,56,287,1158,0.0009167163698169946,1.0500000000051484e-06,2,"[1, 5]","[63, 6184]"
82,56,287,1159,0.0009134113309783279,0.0009134113309783279,1,[1],[6358]
83,56,287,1159,0.0009139713309783306,5.600000000027458e-07,1,[1],[6212]
84,56,287,1159,0.0009148713309783351,9.000000000044129e-07,2,"[1, 5]","[6185, 7]"
85,56,287,1160,0.0009129431540076434,0.0009129431540076434,1,[1],[6315]
86,56,287,1160,0.0009133631540076454,4.2000000000205935e-07,1,[1],[6263]
87,56,287,1160,0.0009137331540076473,3.700000000018142e-07,1,[1],[6198]
88,56,287,1160,0.0009142131540076496,4.800000000023535e-07,1,[1],[6278]
