,event,xi,xf,yi,yf,zi,zf,ti,tf,E,ParticleID,PDG
0,18.0,115.0,114.99875889844661,475.0,473.99466080914215,150.0,150.0019797836587,0.0,0.05928015158373433,3.900357827476976,1.0,321.0
1,18.0,114.99875889844661,114.98777731741987,473.99466080914215,473.3193351396857,150.0019797836587,150.00669826517307,0.05928015158373433,0.09967580999738196,2.917134148383727,1.0,321.0
2,18.0,114.98777731741987,114.96848040239426,473.3193351396857,472.5720729451302,150.00669826517307,150.00824323562895,0.09967580999738196,0.14493050364139923,3.9747204763366546,1.0,321.0
3,18.0,114.96848040239426,114.96547583271997,472.5720729451302,472.4612391619893,150.00824323562895,150.00687851560372,0.14493050364139923,0.15175971693422285,0.4336422513264865,1.0,321.0
4,18.0,114.96547583271997,114.92887538751452,472.4612391619893,471.3411017227566,150.00687851560372,150.00846103893213,0.15175971693422285,0.22100231556065358,5.651298366313624,1.0,321.0
5,18.0,114.92887538751452,114.8641373217279,471.3411017227566,470.33756053404494,150.00846103893213,150.01610499128768,0.22100231556065358,0.2846662327722061,4.956041785395629,1.0,321.0
6,18.0,114.8641373217279,114.80425428168648,470.33756053404494,469.4305199614065,150.01610499128768,150.01968360947842,0.2846662327722061,0.3435520933173163,4.398123389933667,1.0,321.0
7,18.0,114.80425428168648,114.75455990801512,469.4305199614065,468.6056845926381,150.01968360947842,150.0446046745139,0.3435520933173163,0.39829043704582434,4.7420929636228655,1.0,321.0
8,18.0,114.75455990801512,114.72262943091455,468.6056845926381,468.1962368657667,150.0446046745139,150.05573574252284,0.39829043704582434,0.42619130463332766,2.4598514875393955,1.0,321.0
9,18.0,114.72262943091455,114.66013391159883,468.1962368657667,467.50478170574695,150.05573574252284,150.06350528605765,0.42619130463332766,0.474084116118976,4.960097124072535,1.0,321.0
10,18.0,114.66013391159883,114.62398386842642,467.50478170574695,467.0742228042356,150.06350528605765,150.07336056849573,0.474084116118976,0.5048060774174512,2.6701170665068688,1.0,321.0
11,18.0,114.62398386842642,114.57543909637909,467.0742228042356,466.5065173866372,150.07336056849573,150.08573021319222,0.5048060774174512,0.546026586550059,3.7020962238073922,1.0,321.0
12,18.0,114.57543909637909,114.52555916968281,466.5065173866372,465.9956005091596,150.08573021319222,150.09313988506068,0.546026586550059,0.5841194947405621,3.383410846863102,1.0,321.0
13,18.0,114.52555916968281,114.485437743647,465.9956005091596,465.5334017701778,150.09313988506068,150.0955151605664,0.5841194947405621,0.6194145459736979,3.2396489647241795,1.0,321.0
14,18.0,114.485437743647,114.45415677295655,465.5334017701778,465.11606775851124,150.0955151605664,150.1023889072307,0.6194145459736979,0.6520843921263649,3.0808773254373985,1.0,321.0
15,18.0,114.45415677295655,114.43506173447125,465.11606775851124,464.74019812753124,150.1023889072307,150.125476262702,0.6520843921263649,0.6823091792643278,3.251087680421267,1.0,321.0
16,18.0,114.43506173447125,114.42336730577146,464.74019812753124,464.40648437863894,150.125476262702,150.15951289168055,0.6823091792643278,0.7100113543712215,2.706945298390228,1.0,321.0
17,18.0,114.42336730577146,114.41102895500312,464.40648437863894,464.10664321993124,150.15951289168055,150.19851222069818,0.7100113543712215,0.7356601435746513,2.737951129679362,1.0,321.0
18,18.0,114.41102895500312,114.39505076586056,464.10664321993124,463.8389693518977,150.19851222069818,150.2357691591465,0.7356601435746513,0.7592774867646628,2.263108242242939,1.0,321.0
19,18.0,114.39505076586056,114.38804060770858,463.8389693518977,463.5964715480585,150.2357691591465,150.27366921632006,0.7592774867646628,0.78125183571414,2.3578642731645023,1.0,321.0
20,18.0,114.38804060770858,114.39290511670069,463.5964715480585,463.3793606386704,150.27366921632006,150.3116399988951,0.78125183571414,0.8015508629859022,2.036690103302935,1.0,321.0
21,18.0,114.39290511670069,114.40149163759676,463.3793606386704,463.18318664616646,150.3116399988951,150.34835101831044,0.8015508629859022,0.820434097017333,2.0349274276182205,1.0,321.0
