event,ParticleID,kaon_category,particle_parent_track_id,particle_process_key,particle_final_kinetic_energy,particle_decay_flag,track_length_cm
91,2,primary kaon,0,20,0.0,1,3.2741163611684203
92,2,primary kaon,0,20,0.0,1,5.383486144463716
93,2,primary kaon,0,20,0.0,1,12.2176779664316
94,2,primary kaon,0,20,0.0,1,8.750642602789904
95,2,primary kaon,0,20,122.01433740185637,1,6.147834428806562
96,2,primary kaon,0,20,0.0,1,10.667876896971066
97,2,primary kaon,0,20,0.0,1,19.084058892379034
98,2,primary kaon,0,20,0.0,1,22.16224074730273
99,2,primary kaon,0,-2,0.0,0,6.16039522754438
100,2,primary kaon,0,20,0.0,1,0.38191963450321076
101,2,primary kaon,0,20,0.0,1,19.816419410976767
102,2,primary kaon,0,20,0.0,1,26.979474923088222
103,2,primary kaon,0,20,0.0,1,0.48436400614929903
104,2,primary kaon,0,20,0.0,1,5.803810240866279
105,7,daughter kaon,2,20,0.0,1,2.9324174188740546
105,2,primary kaon,0,-2,0.0,0,7.823858111860549
106,2,primary kaon,0,20,0.0,1,9.174956593425383
107,2,primary kaon,0,20,0.0,1,23.994233365050103
108,2,primary kaon,0,20,0.0,1,1.251766176843962
109,2,primary kaon,0,20,0.0,1,1.8917274296515458
110,2,primary kaon,0,20,0.0,1,17.245760190616565
111,2,primary kaon,0,20,0.0,1,12.972202341778157
112,2,primary kaon,0,20,0.0,1,13.337390542912242
113,2,primary kaon,0,20,0.0,1,10.544911465672092
114,2,primary kaon,0,20,0.0,1,2.532804848864776
115,6,daughter kaon,2,20,0.0,1,5.157202024935776
115,2,primary kaon,0,-2,0.0,0,16.790269653592752
116,2,primary kaon,0,20,0.0,1,0.004555304052796426
117,2,primary kaon,0,20,0.0,1,3.589042398571309
118,2,primary kaon,0,20,0.0,1,1.6300012993207464
119,2,primary kaon,0,20,0.0,1,7.2928222901221655
120,2,primary kaon,0,20,0.0,1,14.454953113805388
121,2,primary kaon,0,20,0.0,1,30.366087112719885
122,2,primary kaon,0,20,0.0,1,3.4134257178873355
123,2,primary kaon,0,20,0.0,1,29.677803401364088
124,2,primary kaon,0,20,0.0,1,4.624111937699667
125,2,primary kaon,0,20,0.0,1,3.7093811080103842
126,2,primary kaon,0,20,0.0,1,10.341893962727628
127,2,primary kaon,0,20,0.0,1,11.137921730031724
128,2,primary kaon,0,20,0.0,1,30.60346066290834
129,2,primary kaon,0,20,0.0,1,23.543565945725874
130,2,primary kaon,0,20,0.0,1,16.061471590022368
131,2,primary kaon,0,20,0.0,1,8.812282776323945
132,2,primary kaon,0,20,0.0,1,1.0046932905675552
133,2,primary kaon,0,20,0.0,1,7.500453134985229
134,2,primary kaon,0,20,0.0,1,8.937881143036819
135,2,primary kaon,0,20,0.0,1,2.792249604575987
136,2,primary kaon,0,20,0.0,1,0.06001376933133103
137,2,primary kaon,0,20,0.0,1,0.8639278295358168
138,2,primary kaon,0,20,0.0,1,5.318353040339501
139,2,primary kaon,0,20,69.5369356685733,1,2.4340106696630888
140,9,daughter kaon,2,20,0.0,1,0.27282812539801676
140,2,primary kaon,0,-2,0.0,0,11.111688965323278
141,2,primary kaon,0,20,0.0,1,16.94728129435856
142,2,primary kaon,0,20,0.0,1,7.1133366102995925
143,2,primary kaon,0,20,0.0,1,0.46632383047070053
144,2,primary kaon,0,-2,0.0,0,2.1109361016470922
145,2,primary kaon,0,20,0.0,1,25.14070911938943
146,2,primary kaon,0,20,0.0,1,22.803388507306202
147,2,primary kaon,0,20,0.0,1,6.499651837934834
148,2,primary kaon,0,20,0.0,1,6.420127265522004
149,2,primary kaon,0,20,0.0,1,9.735410692266795
150,2,primary kaon,0,20,0.0,1,12.025131162980026
151,2,primary kaon,0,20,0.0,1,23.460276338617465
152,2,primary kaon,0,20,0.0,1,20.369255021968723
153,2,primary kaon,0,20,0.0,1,2.8244076376415914
154,2,primary kaon,0,20,0.0,1,2.918799241203787
155,2,primary kaon,0,20,0.0,1,21.450115652122708
156,2,primary kaon,0,20,0.0,1,1.4550107101926413
157,2,primary kaon,0,20,67.43060266983899,1,1.5293164122006968
158,2,primary kaon,0,20,0.0,1,5.959959794485034
159,2,primary kaon,0,20,0.0,1,33.43886219042429
160,2,primary kaon,0,20,0.0,1,9.915077595800385
161,6,daughter kaon,2,20,0.0,1,0.08135512743547274
161,2,primary kaon,0,-2,0.0,0,16.826213602258665
162,2,primary kaon,0,20,0.0,1,4.927341076624636
163,2,primary kaon,0,20,0.0,1,8.921871112111493
164,2,primary kaon,0,20,0.0,1,2.6046987477691843
165,2,primary kaon,0,20,0.0,1,7.46069045083901
166,2,primary kaon,0,20,0.0,1,18.79174783048911
167,2,primary kaon,0,-2,0.0,0,7.802032552167397
168,2,primary kaon,0,20,0.0,1,17.166305822934998
169,2,primary kaon,0,20,0.0,1,30.406498818037406
170,2,primary kaon,0,20,0.0,1,0.37864506467509645
171,2,primary kaon,0,20,0.0,1,1.0014707475511189
172,2,primary kaon,0,20,0.0,1,10.461363575383782
173,2,primary kaon,0,20,0.0,1,13.262800830124739
174,2,primary kaon,0,20,0.0,1,7.078756037244725
175,2,primary kaon,0,20,0.0,1,14.86164868911886
176,2,primary kaon,0,20,106.78029923884044,1,20.725728254065398
177,2,primary kaon,0,20,0.0,1,0.2518992414306711
178,2,primary kaon,0,20,0.0,1,53.33486958064757
179,2,primary kaon,0,20,0.0,1,23.92098581433896
180,2,primary kaon,0,20,0.0,1,12.65056342628891
181,2,primary kaon,0,20,0.0,1,3.481862548168151
182,2,primary kaon,0,20,0.0,1,12.269897951427437
183,2,primary kaon,0,20,0.0,1,4.64838193597147
184,2,primary kaon,0,20,0.0,1,4.010385983126386
185,2,primary kaon,0,20,0.0,1,1.5667594817236736
186,5,daughter kaon,2,20,0.0,1,2.151303694700769
186,2,primary kaon,0,-2,0.0,0,6.22331123908295
187,2,primary kaon,0,20,0.0,1,14.46147292477182
188,4,daughter kaon,2,20,0.0,1,0.01079172783797868
188,2,primary kaon,0,-2,0.0,0,2.0750246553872
189,3,daughter kaon,2,20,0.0,1,0.041998753047340506
189,2,primary kaon,0,-2,0.0,0,4.232058347892002
190,2,primary kaon,0,20,82.12777474676743,1,15.25999700373829
191,2,primary kaon,0,20,67.03233308215273,1,13.07171287050716
192,7,daughter kaon,2,20,0.0,1,0.2828793966567185
192,2,primary kaon,0,-2,0.0,0,12.633037036981806
193,2,primary kaon,0,20,0.0,1,4.660703230532616
194,2,primary kaon,0,20,0.0,1,19.243768498033646
195,2,primary kaon,0,20,0.0,1,5.882726101445043
196,2,primary kaon,0,20,0.0,1,1.8178791140078103
197,2,primary kaon,0,20,0.0,1,15.199569223425824
198,2,primary kaon,0,20,0.0,1,4.1177581491697035
199,2,primary kaon,0,20,0.0,1,18.33319400842618
200,2,primary kaon,0,20,0.0,1,30.34832376404874
201,2,primary kaon,0,20,41.84422576435397,1,11.904801945718104
202,2,primary kaon,0,20,0.0,1,4.024699224279661
203,2,primary kaon,0,20,0.0,1,1.8546405237301413
204,2,primary kaon,0,20,0.0,1,7.417072312422209
205,2,primary kaon,0,20,0.0,1,9.398019120161205
206,2,primary kaon,0,20,0.0,1,2.238237904341478
207,2,primary kaon,0,20,0.0,1,22.556704617269638
208,2,primary kaon,0,20,0.0,1,9.156325232154117
209,2,primary kaon,0,20,0.0,1,25.483914317189022
210,2,primary kaon,0,20,0.0,1,0.06882062564843416
211,2,primary kaon,0,20,0.0,1,7.245644461859577
212,2,primary kaon,0,20,0.0,1,18.515186516984848
213,2,primary kaon,0,20,0.0,1,12.434701705626031
214,2,primary kaon,0,20,0.0,1,12.057513514207033
215,2,primary kaon,0,20,0.0,1,14.644124351906823
216,2,primary kaon,0,20,81.15531903182124,1,9.063485818247232
217,2,primary kaon,0,20,0.0,1,4.18395762043381
218,2,primary kaon,0,20,0.0,1,0.3159703543460991
219,2,primary kaon,0,20,0.0,1,11.530166194889318
220,2,primary kaon,0,20,0.0,1,20.46800139391094
221,2,primary kaon,0,20,0.0,1,6.589553801008404
222,2,primary kaon,0,20,0.0,1,24.96459047250652
223,2,primary kaon,0,20,0.0,1,16.99739817986797
224,2,primary kaon,0,-2,0.0,0,0.863200482587111
225,2,primary kaon,0,20,0.0,1,5.070175346537875
226,2,primary kaon,0,20,0.0,1,6.461616519711876
227,2,primary kaon,0,20,0.0,1,8.074573057109623
228,2,primary kaon,0,20,28.12111319479741,1,13.466635445931407
229,2,primary kaon,0,20,0.0,1,0.5411474035834225
230,2,primary kaon,0,20,0.0,1,4.964011759498264
231,2,primary kaon,0,20,0.0,1,0.8526335825302802
