event,ParticleID,PDG,kaon_category,particle_parent_track_id,particle_process_key,particle_final_kinetic_energy,particle_decay_flag,s_bin_cm,energy_MeV,path_length_cm,weighted_s_mid_cm,track_length_cm,n_steps,s_mid_cm,residual_range_cm,dEdx_MeV_per_cm
0,2,321,primary kaon,0,20,0.0,1,0.0,6.1440839918740915,1.2978268072903372,0.842177210860715,12.749734384675097,1,0.6489134036451686,12.100820981029928,4.7341324415250705
0,2,321,primary kaon,0,20,0.0,1,1.0,1.994510544916726,0.4621885694388624,0.706649852300898,12.749734384675097,1,1.5289210920097682,11.22081329266533,4.315361038327359
0,2,321,primary kaon,0,20,0.0,1,2.0,5.485893690717041,1.1374562985329115,2.6488439913114994,12.749734384675097,2,2.3287435259956557,10.420990858679442,4.8229489764070355
0,2,321,primary kaon,0,20,0.0,1,3.0,4.594132951438842,1.004859760343357,3.416424262184204,12.749734384675097,1,3.3999015554337895,9.349832829241308,4.571914542452216
0,2,321,primary kaon,0,20,0.0,1,4.0,5.384031063477351,0.90814342175232,3.956238859978399,12.749734384675097,1,4.356403146481628,8.393331238193468,5.9286131843454015
0,2,321,primary kaon,0,20,0.0,1,5.0,9.222684432013917,1.5325298789584183,8.546520365829195,12.749734384675097,2,5.576739796836996,7.172994587838101,6.0179475510664115
0,2,321,primary kaon,0,20,0.0,1,6.0,3.850071540913948,0.6487128325757009,4.325202739110968,12.749734384675097,1,6.667361152604057,6.08237323207104,5.934939695315289
0,2,321,primary kaon,0,20,0.0,1,7.0,6.944684978777269,1.0361194085818146,7.781025986871331,12.749734384675097,2,7.509777273182816,5.239957111492282,6.702591343485
0,2,321,primary kaon,0,20,0.0,1,8.0,6.9991919719928735,0.9087976282113595,7.708635769316862,12.749734384675097,2,8.4822357915794,4.267498593095697,7.701595773052643
0,2,321,primary kaon,0,20,0.0,1,9.0,7.8871028935421865,1.0528694149271738,9.96337625115013,12.749734384675097,3,9.463069313148669,3.2866650715264285,7.491055188537063
0,2,321,primary kaon,0,20,0.0,1,10.0,9.224020379420153,0.9868683725199927,10.345280167443669,12.749734384675097,4,10.48293820687225,2.2667961778028474,9.346758530589435
0,2,321,primary kaon,0,20,0.0,1,11.0,13.331389917007444,1.0613874581684772,12.213455662435953,12.749734384675097,8,11.507066122216488,1.2426682624586096,12.560342421995449
0,2,321,primary kaon,0,20,0.0,1,12.0,19.37295725632314,0.7119745333743729,8.824032321089422,12.749734384675097,22,12.393747117987912,0.35598726668718506,27.210182876213054
1,2,321,primary kaon,0,20,0.0,1,0.0,10.709183387023684,1.0205966535302453,0.5208087645985677,2.3702470048742983,5,0.5102983267651225,1.8599486781091756,10.49306143615169
1,2,321,primary kaon,0,20,0.0,1,1.0,14.841668010289387,0.9902964189976291,1.5010367099717299,2.3702470048742983,11,1.51574486302906,0.8545021418452383,14.987096515316107
1,2,321,primary kaon,0,20,0.0,1,2.0,13.291014801793997,0.35935393234642404,0.7871899574874937,2.3702470048742983,19,2.1905700387010865,0.17967696617321183,36.985861585010305
2,2,321,primary kaon,0,20,0.0,1,0.0,6.591902651190809,0.900397770258246,0.4053580723430105,4.636066050660441,2,0.450198885129123,4.1858671655313175,7.321100594574068
2,2,321,primary kaon,0,20,0.0,1,1.0,8.59026963900485,1.035307917769579,1.468120182988627,4.636066050660441,3,1.4180517291430355,3.2180143215174053,8.297308937336577
2,2,321,primary kaon,0,20,0.0,1,2.0,10.942718004335601,1.1335765845535517,2.8367685790595125,4.636066050660441,5,2.502493980304601,2.13357207035584,9.653267501679462
2,2,321,primary kaon,0,20,0.0,1,3.0,12.000113118003465,0.9414803561191718,3.332861597499317,4.636066050660441,8,3.5400224506409628,1.096043600019478,12.746004778547393
2,2,321,primary kaon,0,20,0.0,1,4.0,18.16966755233462,0.6253034219598924,2.703445781152682,4.636066050660441,22,4.323414339680495,0.3126517109799458,29.05736145723514
3,2,321,primary kaon,0,20,0.0,1,0.0,5.3451853066481805,1.187056835791393,0.7045519656995372,11.80276549493901,1,0.5935284178956965,11.209237077043314,4.502889116581032
3,2,321,primary kaon,0,20,0.0,1,1.0,4.962479000461211,1.0736272350874905,1.8507942684632233,11.80276549493901,1,1.7238704533351383,10.078895041603872,4.6221619928045286
3,2,321,primary kaon,0,20,0.0,1,2.0,5.021131448054966,0.9700220277820019,2.6633847137995588,11.80276549493901,1,2.7456950847698844,9.057070410169125,5.17630662422791
3,2,321,primary kaon,0,20,0.0,1,3.0,4.477466613814464,0.8736503342514124,3.204139916231962,11.80276549493901,1,3.6675312657865926,8.135234229152417,5.1250099018745106
3,2,321,primary kaon,0,20,0.0,1,4.0,4.515400602627116,0.7913072690502833,3.560890677162701,11.80276549493901,1,4.500010067437439,7.3027554275015705,5.706254421302664
3,2,321,primary kaon,0,20,0.0,1,5.0,8.746987963866829,1.3478258095127664,7.506819098594356,11.80276549493901,2,5.569576606718965,6.233188888220044,6.489702083260172
3,2,321,primary kaon,0,20,0.0,1,6.0,4.148551685018662,0.5684678036073356,3.710800591302902,11.80276549493901,1,6.527723413279015,5.275042081659994,7.297777743423864
3,2,321,primary kaon,0,20,0.0,1,7.0,9.734734653685178,1.3729506323993008,10.294977823122634,11.80276549493901,3,7.498432631282334,4.304332863656676,7.090374864151697
3,2,321,primary kaon,0,20,0.0,1,8.0,5.600464383549687,0.7063269750573773,6.03067016951489,11.80276549493901,2,8.538071435010673,3.2646940599283365,7.928996882916361
3,2,321,primary kaon,0,20,0.0,1,9.0,9.579862729597808,1.0228529918333855,9.61754036306412,11.80276549493901,4,9.402661418456054,2.4001040764829558,9.365825593790012
3,2,321,primary kaon,0,20,0.0,1,10.0,13.00587013084103,1.1230952384158521,11.76513638714436,11.80276549493901,8,10.475635533580673,1.3271299613583363,11.580380439673188
3,2,321,primary kaon,0,20,0.0,1,11.0,20.53895176190624,0.7655823421504115,8.742930690161213,11.80276549493901,23,11.419974323863803,0.38279117107520655,26.827880726996987
4,2,321,primary kaon,0,20,0.0,1,0.0,3.122596372064661,0.7287990178498452,0.26557400420944954,25.119748791859717,1,0.3643995089249227,24.755349282934795,4.284578183539773
4,2,321,primary kaon,0,20,0.0,1,1.0,5.815180866840115,1.5814403882080001,2.4030290524418034,25.119748791859717,1,1.5195192119538452,23.60022957990587,3.6771419967524372
4,2,321,primary kaon,0,20,0.0,1,2.0,3.464652266781794,1.012640294537651,2.852161695663554,25.119748791859717,1,2.8165595533266705,22.303189238533047,3.4214047035958384
4,2,321,primary kaon,0,20,0.0,1,4.0,7.999493951656243,2.209877489993887,9.784936312694454,25.119748791859717,1,4.42781844559244,20.691930346267277,3.619881187023798
4,2,321,primary kaon,0,20,0.0,1,5.0,2.091589022680721,0.5003284918736568,2.8933603609610006,25.119748791859717,1,5.782921436526212,19.336827355333504,4.180431569763352
4,2,321,primary kaon,0,20,0.0,1,6.0,7.507500585190368,1.9328806139783021,13.529248092049434,25.119748791859717,1,6.999525989452191,18.120222802407525,3.884099478724786
4,2,321,primary kaon,0,20,0.0,1,8.0,3.047558519689092,0.692264528269804,5.75417098896943,25.119748791859717,1,8.312098560576244,16.807650231283475,4.402303447940544
4,2,321,primary kaon,0,20,0.0,1,9.0,6.9812059236420705,1.659299743306347,15.743238003998558,25.119748791859717,1,9.487880696364318,15.631868095495399,4.207320559051741
4,2,321,primary kaon,0,20,0.0,1,11.0,6.492358454411745,1.492886222870637,16.51725387625845,25.119748791859717,1,11.063973679452811,14.055775112406906,4.348863533570386
4,2,321,primary kaon,0,20,0.0,1,12.0,3.8378503208318917,0.8796473957100104,10.775892142744224,25.119748791859717,2,12.250240488743136,12.86950830311658,4.362941719089792
4,2,321,primary kaon,0,20,0.0,1,13.0,5.710645354278451,1.245122052691314,16.575843231850723,25.119748791859717,1,13.312625212943797,11.80712357891592,4.5864141125241265
4,2,321,primary kaon,0,20,0.0,1,14.0,3.25976964490902,0.6407297453371533,9.133955633605643,25.119748791859717,1,14.255551111958033,10.864197679901684,5.087589063301131
4,2,321,primary kaon,0,20,0.0,1,15.0,7.2102806101476205,1.432068644690131,21.899122550773754,25.119748791859717,2,15.291950306971671,9.827798484888046,5.0348708051685405
4,2,321,primary kaon,0,20,0.0,1,16.0,4.451239311066596,0.908046405025386,14.948267031192465,25.119748791859717,1,16.462007831829432,8.657740960030285,4.901995411723648
4,2,321,primary kaon,0,20,0.0,1,17.0,4.56918065764858,0.8247954589031964,14.292409354304592,25.119748791859717,1,17.328428763793724,7.791320028065993,5.539774265639902
4,2,321,primary kaon,0,20,0.0,1,18.0,7.977325834273756,1.414778776312862,26.100144289845083,25.119748791859717,2,18.448215881401755,6.671532910457962,5.638567645935383
4,2,321,primary kaon,0,20,0.0,1,19.0,3.806223337691426,0.6089641540375914,11.850495628505886,25.119748791859717,1,19.460087346576977,5.65966144528274,6.250324115886249
4,2,321,primary kaon,0,20,0.0,1,20.0,8.565441861187157,1.237848927324467,25.231686043467153,25.119748791859717,3,20.383493887258005,4.7362549046017115,6.9196181150318745
4,2,321,primary kaon,0,20,0.0,1,21.0,9.195440480350381,1.149061532373389,24.79324221644554,25.119748791859717,3,21.57694911710694,3.5427996747527786,8.002565764565436
4,2,321,primary kaon,0,20,0.0,1,22.0,7.462366620953878,0.8349582128320785,18.844137663528457,25.119748791859717,3,22.568958989709667,2.5507898021500495,8.937413281608935
4,2,321,primary kaon,0,20,0.0,1,23.0,11.50489840737302,1.0338334752370255,24.298555007498734,25.119748791859717,6,23.503354833744226,1.6163939581154914,11.128386420971045
4,2,321,primary kaon,0,20,0.0,1,24.0,17.83812080706232,0.9863435055859305,24.17867562232976,25.119748791859717,17,24.5134433241557,0.6063054677040185,18.0850998724483
4,2,321,primary kaon,0,20,0.0,1,25.0,6.795482161754293,0.11313371491105124,2.8354908797306937,25.119748791859717,12,25.06318193440419,0.056566857455525366,60.06593319327561
5,2,321,primary kaon,0,20,0.0,1,0.0,7.134544990680292,1.137898715702966,0.6474067435992298,5.889868141020253,2,0.568949357851483,5.32091878316877,6.269929732957598
5,2,321,primary kaon,0,20,0.0,1,1.0,6.566610820359265,0.929708225994599,1.4900924890787492,5.889868141020253,2,1.6027528287002655,4.287115312319988,7.063087791155472
5,2,321,primary kaon,0,20,0.0,1,2.0,8.448585424948535,1.0802470663115205,2.816993195191453,5.889868141020253,3,2.607730474853325,3.282137666166928,7.82097511617971
5,2,321,primary kaon,0,20,0.0,1,3.0,7.656328465261188,0.7774021122748771,2.749325377043921,5.889868141020253,3,3.536555064146524,2.353313076873729,9.848607746712723
5,2,321,primary kaon,0,20,0.0,1,4.0,12.372528407119427,1.0888846421686913,4.866985987931288,5.889868141020253,7,4.469698441368308,1.4201696996519448,11.36257040275407
