event,ParticleID,PDG,kaon_category,particle_parent_track_id,particle_process_key,particle_final_kinetic_energy,particle_decay_flag,range_bin_index,energy_MeV,path_length_cm,weighted_residual_range_cm,range_bin_low_cm,range_bin_high_cm,track_length_cm,n_steps,residual_range_cm,range_bin_width_cm,dEdx_MeV_per_cm
0,2,321,primary kaon,0,20,0.0,1,-12,8.999053022187583,0.7652643825328613,1.0642759818785836,,,12.749734384675097,5,1.3907298002764195,,11.759403975398206
0,2,321,primary kaon,0,20,0.0,1,-11,9.224020379420153,0.9868683725199927,2.237029454822835,,,12.749734384675097,4,2.2667961778028465,,9.346758530589435
0,2,321,primary kaon,0,20,0.0,1,-10,7.8871028935421865,1.0528694149271738,3.460429130919609,,,12.749734384675097,3,3.286665071526429,,7.491055188537063
0,2,321,primary kaon,0,20,0.0,1,-9,6.9991919719928735,0.9087976282113595,3.8782925998006825,,,12.749734384675097,2,4.267498593095697,,7.701595773052643
0,2,321,primary kaon,0,20,0.0,1,-8,6.944684978777269,1.0361194085818146,5.4292212633534565,,,12.749734384675097,2,5.239957111492282,,6.702591343485
0,2,321,primary kaon,0,20,0.0,1,-7,3.850071540913948,0.6487128325757009,3.9457135681594253,,,12.749734384675097,1,6.08237323207104,,5.934939695315289
0,2,321,primary kaon,0,20,0.0,1,-6,9.222684432013917,1.5325298789584183,10.992828527468912,,,12.749734384675097,2,7.172994587838099,,6.0179475510664115
0,2,321,primary kaon,0,20,0.0,1,-5,5.384031063477351,0.90814342175232,7.622348550553653,,,12.749734384675097,1,8.393331238193468,,5.9286131843454015
0,2,321,primary kaon,0,20,0.0,1,-4,4.594132951438842,1.004859760343357,9.39527077604187,,,12.749734384675097,1,9.349832829241308,,4.571914542452216
0,2,321,primary kaon,0,20,0.0,1,-3,5.485893690717041,1.1374562985329115,11.853421689158825,,,12.749734384675097,2,10.420990858679442,,4.8229489764070355
0,2,321,primary kaon,0,20,0.0,1,-2,1.994510544916726,0.4621885694388624,5.18613164367756,,,12.749734384675097,1,11.22081329266533,,4.315361038327359
0,2,321,primary kaon,0,20,0.0,1,-1,6.1440839918740915,1.2978268072903372,15.704769859401997,,,12.749734384675097,1,12.100820981029928,,4.7341324415250705
0,2,321,primary kaon,0,20,0.0,1,0,6.204631592324012,0.0953609351871887,0.004546853979887538,0.0,0.1,12.749734384675097,8,0.04768046759359368,0.1,65.06470998994119
0,2,321,primary kaon,0,20,0.0,1,1,3.042147978632224,0.09562570429169245,0.01369109424983044,0.1,0.2,12.749734384675097,4,0.1431737873330347,0.1,31.81307788701445
0,2,321,primary kaon,0,20,0.0,1,2,2.6031126789591785,0.10426923889801017,0.02535006862833677,0.2,0.30000000000000004,12.749734384675097,3,0.24312125892788639,0.10000000000000003,24.965298552772456
0,2,321,primary kaon,0,20,0.0,1,3,1.8669127282665412,0.08962695549706223,0.030479381047367853,0.30000000000000004,0.4,12.749734384675097,2,0.34006935612542255,0.09999999999999998,20.829813061403545
0,2,321,primary kaon,0,20,0.0,1,4,2.1323152650907273,0.11044954074694148,0.04860968276836457,0.4,0.5,12.749734384675097,2,0.44010760424742323,0.09999999999999998,19.305786612333872
0,2,321,primary kaon,0,20,0.0,1,5,2.4101152743389673,0.13715941375309565,0.07734585050647705,0.5,0.6,12.749734384675097,2,0.5639120814974421,0.09999999999999998,17.57163586800889
0,2,321,primary kaon,0,20,0.0,1,6,1.1137217387114888,0.0794827450003822,0.0534309369065635,0.6,0.7,12.749734384675097,1,0.6722331608741818,0.09999999999999998,14.012119721156251
0,2,321,primary kaon,0,20,0.0,1,7,1.2745006737392175,0.08796450648013136,0.06649736565484493,0.7,0.8049999999999999,12.749734384675097,1,0.7559567866144371,0.10499999999999998,14.488806050734683
0,2,321,primary kaon,0,20,0.0,1,8,1.4619039714040485,0.09819470530282431,0.08337087835349147,0.8049999999999999,0.92575,12.749734384675097,1,0.8490363925059157,0.12075000000000002,14.887808531994246
0,2,321,primary kaon,0,20,0.0,1,9,1.595932249676594,0.10996386385266023,0.10480828255066334,0.92575,1.0646125,12.749734384675097,1,0.9531156770836571,0.1388625,14.513242748681256
1,2,321,primary kaon,0,20,0.0,1,-2,5.020498092669527,0.39573736159145323,0.455803039432191,,,2.3702470048742983,3,1.1517816705483261,,12.686439492292696
1,2,321,primary kaon,0,20,0.0,1,-1,10.709183387023684,1.0205966535302453,1.898257396616228,,,2.3702470048742983,5,1.8599486781091754,,10.49306143615169
1,2,321,primary kaon,0,20,0.0,1,0,6.509684795859782,0.1038584102278909,0.005393284687532424,0.0,0.1,2.3702470048742983,11,0.05192920511394533,0.1,62.67845600154992
1,2,321,primary kaon,0,20,0.0,1,1,3.157027901822808,0.10147869061194353,0.01568837780312172,0.1,0.2,2.3702470048742983,4,0.15459775553386254,0.1,31.110254604046315
1,2,321,primary kaon,0,20,0.0,1,2,2.587488788172669,0.10899055805286031,0.028319276081826966,0.2,0.30000000000000004,2.3702470048742983,3,0.2598323798662646,0.10000000000000003,23.74048573012847
1,2,321,primary kaon,0,20,0.0,1,3,2.049768005942379,0.09505363237818393,0.034395582248824864,0.30000000000000004,0.4,2.3702470048742983,2,0.36185447508178664,0.09999999999999998,21.564331153459715
1,2,321,primary kaon,0,20,0.0,1,4,2.136463280296633,0.11670418426325166,0.054586442962680004,0.4,0.5,2.3702470048742983,2,0.46773338340250437,0.09999999999999998,18.30665535930893
1,2,321,primary kaon,0,20,0.0,1,5,1.140679144936438,0.0682706562546161,0.03824664191345483,0.5,0.6,2.3702470048742983,1,0.5602208036614382,0.09999999999999998,16.70819071494294
1,2,321,primary kaon,0,20,0.0,1,6,1.1724965388071482,0.07551121924275651,0.04773152829154052,0.6,0.7,2.3702470048742983,1,0.6321117414101245,0.09999999999999998,15.527448113872444
1,2,321,primary kaon,0,20,0.0,1,7,2.7290215678388625,0.178528304764224,0.13552646039754937,0.7,0.8049999999999999,2.3702470048742983,2,0.7591315034136148,0.10499999999999998,15.286212298060997
1,2,321,primary kaon,0,20,0.0,1,8,1.629554695737138,0.10551733395687303,0.09508740162284116,0.8049999999999999,0.92575,2.3702470048742983,1,0.9011543227741634,0.12075000000000002,15.443478664871959
2,2,321,primary kaon,0,20,0.0,1,-4,6.667181300712071,0.5676285885700518,0.728250157264458,,,4.636066050660441,4,1.2829694837940384,,11.745675667090303
2,2,321,primary kaon,0,20,0.0,1,-3,10.942718004335601,1.1335765845535517,2.418567340412823,,,4.636066050660441,5,2.13357207035584,,9.653267501679462
2,2,321,primary kaon,0,20,0.0,1,-2,8.59026963900485,1.035307917769579,3.33163570656287,,,4.636066050660441,3,3.2180143215174057,,8.297308937336577
2,2,321,primary kaon,0,20,0.0,1,-1,6.591902651190809,0.900397770258246,3.768945462441603,,,4.636066050660441,2,4.1858671655313175,,7.321100594574068
2,2,321,primary kaon,0,20,0.0,1,0,6.156138436832956,0.09222906713609313,0.004253100412396984,0.0,0.1,4.636066050660441,9,0.04611453356804653,0.1,66.74835415768614
2,2,321,primary kaon,0,20,0.0,1,1,2.971607748815642,0.0944992993191854,0.013180641007131412,0.1,0.2,4.636066050660441,4,0.13947871679568588,0.1,31.44581780208334
2,2,321,primary kaon,0,20,0.0,1,2,2.6563453829154486,0.10271804302400107,0.02445587056069497,0.2,0.30000000000000004,4.636066050660441,3,0.2380873879672787,0.10000000000000003,25.860552875747132
2,2,321,primary kaon,0,20,0.0,1,3,1.9116197149343495,0.08918764569229512,0.029792261887612147,0.30000000000000004,0.4,4.636066050660441,2,0.3340402323254272,0.09999999999999998,21.43368288394559
2,2,321,primary kaon,0,20,0.0,1,4,2.082064800940881,0.11002361195779525,0.047711283954323516,0.4,0.5,4.636066050660441,2,0.4336458611504722,0.09999999999999998,18.92379975436141
2,2,321,primary kaon,0,20,0.0,1,5,2.3918914678953413,0.1366457548305225,0.07610902693521657,0.5,0.6,4.636066050660441,2,0.5569805445446311,0.09999999999999998,17.504323283675593
2,2,321,primary kaon,0,20,0.0,1,6,1.1090593234977515,0.07887207255450872,0.05242937877992507,0.6,0.7,4.636066050660441,1,0.6647394582371469,0.09999999999999998,14.06149588285863
2,2,321,primary kaon,0,20,0.0,1,7,1.4003404303717435,0.0881800711894183,0.06598210771360913,0.7,0.8049999999999999,4.636066050660441,1,0.7482655301091099,0.10499999999999998,15.880463822303943
2,2,321,primary kaon,0,20,0.0,1,8,1.4469903601002114,0.09836499077863972,0.08277788361930095,0.8049999999999999,0.92575,4.636066050660441,1,0.8415380610931389,0.12075000000000002,14.710420329896785
2,2,321,primary kaon,0,20,0.0,1,9,1.3765417033216876,0.10843463302655318,0.1024639914911843,0.92575,1.0646125,4.636066050660441,1,0.9449378729957356,0.1388625,12.694668344426487
3,2,321,primary kaon,0,20,0.0,1,-11,10.305550641158897,0.9203478687095286,1.314720286234543,,,11.80276549493901,6,1.4285036462114986,,11.19745151972687
3,2,321,primary kaon,0,20,0.0,1,-10,9.579862729597808,1.0228529918333855,2.454953635342096,,,11.80276549493901,4,2.4001040764829558,,9.365825593790012
3,2,321,primary kaon,0,20,0.0,1,-9,5.600464383549687,0.7063269750573773,2.30594147983697,,,11.80276549493901,2,3.2646940599283365,,7.928996882916361
3,2,321,primary kaon,0,20,0.0,1,-8,9.734734653685178,1.3729506323993008,5.909636527214527,,,11.80276549493901,3,4.3043328636566764,,7.090374864151697
3,2,321,primary kaon,0,20,0.0,1,-7,4.148551685018662,0.5684678036073356,2.9986915860975247,,,11.80276549493901,1,5.275042081659994,,7.297777743423864
3,2,321,primary kaon,0,20,0.0,1,-6,8.746987963866829,1.3478258095127664,8.401252859111164,,,11.80276549493901,2,6.233188888220046,,6.489702083260172
3,2,321,primary kaon,0,20,0.0,1,-5,4.515400602627116,0.7913072690502833,5.778723453878402,,,11.80276549493901,1,7.3027554275015705,,5.706254421302664
3,2,321,primary kaon,0,20,0.0,1,-4,4.477466613814464,0.8736503342514124,7.10735010351254,,,11.80276549493901,1,8.135234229152417,,5.1250099018745106
3,2,321,primary kaon,0,20,0.0,1,-3,5.021131448054966,0.9700220277820019,8.785557805036621,,,11.80276549493901,1,9.057070410169125,,5.17630662422791
